year,film,wiki,winner,rating,numVotes
1937,One Hundred Men and a Girl,/wiki/One_Hundred_Men_and_a_Girl,False,6.7,1143.0
1937,Stage Door,/wiki/Stage_Door,False,7.7,8676.0
1937,Captains Courageous ,/wiki/Captains_Courageous_(1937_film),False,7.9,10308.0
1938,The Adventures of Robin Hood,/wiki/The_Adventures_of_Robin_Hood,False,7.9,52654.0
1938,Four Daughters,/wiki/Four_Daughters,False,6.9,2073.0
1938,La Grande Illusion,/wiki/La_Grande_Illusion,False,7.5,6.0
1938,Alexander's Ragtime Band ,/wiki/Alexander%27s_Ragtime_Band_(film),False,6.9,2215.0
1938,Test Pilot ,/wiki/Test_Pilot_(film),False,6.8,2577.0
1938,Pygmalion ,/wiki/Pygmalion_(1938_film),False,7.8,9161.0
1938,Jezebel ,/wiki/Jezebel_(1938_film),False,7.4,14308.0
1938,The Citadel ,/wiki/The_Citadel_(1938_film),False,6.3,10217.0
1938,Boys Town ,/wiki/Boys_Town_(film),False,7.2,6018.0
1938,You Can't Take It with You ,/wiki/You_Can%27t_Take_It_with_You_(film),True,7.8,26748.0
1939,The Wizard of Oz ,/wiki/The_Wizard_of_Oz_(1939_film),False,8.1,409552.0
1939,Wuthering Heights ,/wiki/Wuthering_Heights_(1939_film),False,7.5,18907.0
1939,"Goodbye, Mr. Chips ","/wiki/Goodbye,_Mr._Chips_(1939_film)",False,7.9,11095.0
1939,Gone with the Wind ,/wiki/Gone_with_the_Wind_(film),True,8.2,321925.0
1939,Love Affair ,/wiki/Love_Affair_(1939_film),False,6.0,4917.0
1939,Of Mice and Men ,/wiki/Of_Mice_and_Men_(1939_film),False,7.5,45096.0
1939,Stagecoach ,/wiki/Stagecoach_(1939_film),False,7.8,51137.0
1939,Dark Victory,/wiki/Dark_Victory,False,7.5,11751.0
1939,Mr. Smith Goes to Washington,/wiki/Mr._Smith_Goes_to_Washington,False,8.1,117350.0
1939,Ninotchka,/wiki/Ninotchka,False,7.8,21798.0
1940,Kitty Foyle ,/wiki/Kitty_Foyle_(film),False,6.9,3877.0
1940,"All This, and Heaven Too","/wiki/All_This,_and_Heaven_Too",False,7.4,5136.0
1940,The Great Dictator,/wiki/The_Great_Dictator,False,8.4,228018.0
1940,The Long Voyage Home,/wiki/The_Long_Voyage_Home,False,6.9,4647.0
1940,The Grapes of Wrath ,/wiki/The_Grapes_of_Wrath_(film),False,8.1,95957.0
1940,Rebecca ,/wiki/Rebecca_(1940_film),True,6.0,44096.0
1940,Our Town ,/wiki/Our_Town_(1940_film),False,6.5,2782.0
1940,The Philadelphia Story ,/wiki/The_Philadelphia_Story_(film),False,7.9,71352.0
1940,The Letter ,/wiki/The_Letter_(1940_film),False,7.5,13874.0
1940,Foreign Correspondent ,/wiki/Foreign_Correspondent_(film),False,7.4,22250.0
1941,How Green Was My Valley ,/wiki/How_Green_Was_My_Valley_(film),True,7.7,25272.0
1941,Citizen Kane,/wiki/Citizen_Kane,False,8.3,449408.0
1941,Here Comes Mr. Jordan,/wiki/Here_Comes_Mr._Jordan,False,7.6,6920.0
1941,Hold Back the Dawn,/wiki/Hold_Back_the_Dawn,False,7.3,2647.0
1941,The Little Foxes ,/wiki/The_Little_Foxes_(film),False,7.9,12487.0
1941,Suspicion ,/wiki/Suspicion_(1941_film),False,5.7,7271.0
1941,Sergeant York ,/wiki/Sergeant_York_(film),False,7.7,19063.0
1941,The Maltese Falcon ,/wiki/The_Maltese_Falcon_(1941_film),False,8.0,162017.0
1941,One Foot in Heaven,/wiki/One_Foot_in_Heaven,False,6.7,1416.0
1941,Blossoms in the Dust,/wiki/Blossoms_in_the_Dust,False,6.9,2164.0
1942,49th Parallel ,/wiki/49th_Parallel_(film),False,7.3,7142.0
1942,The Magnificent Ambersons ,/wiki/The_Magnificent_Ambersons_(film),False,7.6,25655.0
1942,The Pied Piper ,/wiki/The_Pied_Piper_(1942_film),False,6.4,843.0
1942,Random Harvest ,/wiki/Random_Harvest_(film),False,7.9,8003.0
1942,The Talk of the Town ,/wiki/The_Talk_of_the_Town_(1942_film),False,7.5,8692.0
1942,Wake Island ,/wiki/Wake_Island_(film),False,6.7,2104.0
1942,Yankee Doodle Dandy,/wiki/Yankee_Doodle_Dandy,False,7.6,16184.0
1942,Kings Row,/wiki/Kings_Row,False,7.5,4692.0
1942,The Pride of the Yankees,/wiki/The_Pride_of_the_Yankees,False,7.6,11409.0
1942,Mrs. Miniver,/wiki/Mrs._Miniver,True,7.6,18537.0
1943,In Which We Serve,/wiki/In_Which_We_Serve,False,7.2,6112.0
1943,The Song of Bernadette ,/wiki/The_Song_of_Bernadette_(film),False,7.6,7301.0
1943,Madame Curie ,/wiki/Madame_Curie_(film),False,7.2,3027.0
1943,The Human Comedy ,/wiki/The_Human_Comedy_(film),False,7.0,2298.0
1943,Heaven Can Wait ,/wiki/Heaven_Can_Wait_(1943_film),False,6.9,22323.0
1943,For Whom the Bell Tolls ,/wiki/For_Whom_the_Bell_Tolls_(film),False,6.8,9779.0
1943,The More the Merrier,/wiki/The_More_the_Merrier,False,7.6,7067.0
1943,The Ox-Bow Incident,/wiki/The_Ox-Bow_Incident,False,8.0,24061.0
1943,Watch on the Rhine,/wiki/Watch_on_the_Rhine,False,7.1,4699.0
1943,Casablanca ,/wiki/Casablanca_(film),True,8.5,582415.0
1944,Double Indemnity,/wiki/Double_Indemnity,False,8.3,160383.0
1944,Wilson ,/wiki/Wilson_(1944_film),False,5.8,10851.0
1944,Going My Way,/wiki/Going_My_Way,True,7.0,12561.0
1944,Gaslight ,/wiki/Gaslight_(1944_film),False,7.4,23550.0
1944,Since You Went Away,/wiki/Since_You_Went_Away,False,7.5,4786.0
1945,The Bells of St. Mary's,/wiki/The_Bells_of_St._Mary%27s,False,7.2,8704.0
1945,The Lost Weekend ,/wiki/The_Lost_Weekend_(film),True,7.9,38560.0
1945,Anchors Aweigh ,/wiki/Anchors_Aweigh_(film),False,7.0,9097.0
1945,Mildred Pierce ,/wiki/Mildred_Pierce_(film),False,7.9,27228.0
1946,It's a Wonderful Life,/wiki/It%27s_a_Wonderful_Life,False,8.6,470690.0
1946,Henry V ,/wiki/Henry_V_(1944_film),False,7.5,30647.0
1946,The Razor's Edge ,/wiki/The_Razor%27s_Edge_(1946_film),False,6.4,5665.0
1946,The Yearling ,/wiki/The_Yearling_(1946_film),False,7.2,6165.0
1946,The Best Years of Our Lives,/wiki/The_Best_Years_of_Our_Lives,True,8.1,66826.0
1947,Gentleman's Agreement,/wiki/Gentleman%27s_Agreement,True,7.2,17087.0
1947,The Bishop's Wife,/wiki/The_Bishop%27s_Wife,False,7.6,19305.0
1947,Miracle on 34th Street,/wiki/Miracle_on_34th_Street,False,7.9,51123.0
