,originalTitle,averageRating,numVotes
806895,The Defiant Ones,7.6,16472
807157,The Departed,8.5,1351191
807225,The Descendants,7.3,245160
808690,The Divorcee,6.7,3366
812406,The Exorcist,8.1,419343
812791,The Fabelmans,7.6,85709
813967,The Favourite,7.5,207297
814449,The Fighter,7.8,376098
817474,The Full Monty,7.2,109248
818405,The Gay Divorcee,7.4,8252
820343,The Godfather,9.2,1901221
820352,The Godfather Part II,9.0,1296165
820353,The Godfather Part III,7.6,406431
821181,The Goodbye Girl,7.4,15259
821374,The Graduate,8.0,279183
821421,The Grand Budapest Hotel,8.1,834412
821972,The Great Dictator,8.4,228018
822680,The Great Ziegfeld,6.6,8565
825021,The Heiress,8.1,16404
827002,The House of Rothschild,6.5,1239
827615,The Hurt Locker,7.5,460137
827636,The Hustler,8.0,83970
828043,The Imitation Game,8.0,786691
829433,The Irishman,7.8,401561
831878,The King's Speech,8.0,690511
833316,The Last Emperor,7.7,106875
833770,The Last Picture Show,8.0,49803
835839,The Life of Emile Zola,7.2,8596
837280,The Long Voyage Home,6.9,4647
837519,The Lord of the Rings: The Fellowship of the Ring,8.8,1909585
837522,The Lord of the Rings: The Return of the King,9.0,1880701
837526,The Lord of the Rings: The Two Towers,8.8,1697780
838171,The Love Parade,7.0,2469
844462,The More the Merrier,7.6,7067
851040,The Ox-Bow Incident,8.0,24061
853152,The Piano,7.5,91080
855137,The Pride of the Yankees,7.6,11409
855277,The Prince of Tides,6.8,18785
855524,The Private Life of Henry VIII,7.0,4580
856683,The Quiet Man,7.7,40321
865020,The Shape of Water,7.3,430989
865100,The Shawshank Redemption,9.3,2734155
866460,The Sixth Sense,8.2,1008296
867007,The Smiling Lieutenant,7.2,3952
867125,The Snake Pit,7.6,8019
867307,The Social Network,7.8,720689
869333,The Sting,8.3,268838
869717,The Story of Louis Pasteur,7.3,2972
874363,The Towering Inferno,7.0,45752
875041,The Trial of the Chicago 7,7.7,183226
878247,The Verdict,7.7,42737
880872,The White Parade,7.0,101
885473,There Will Be Blood,8.2,600122
889632,"Three Billboards Outside Ebbing, Missouri",8.1,523880
890176,Three Smart Girls,6.6,1455
901002,Tootsie,7.4,110342
901746,Top Gun: Maverick,8.3,577408
901757,Top Hat,7.7,19894
904488,Toy Story 3,8.3,852115
908418,Triangle of Sadness,7.3,128812
914257,Twelve O'Clock High,7.7,15237
916646,Tár,7.5,69684
926078,Unforgiven,8.2,419562
940928,Viva Villa!,6.4,1484
949708,Watch on the Rhine,7.1,4699
968349,Winter's Bone,7.1,145733
971786,Working Girl,6.8,59500
976900,Yankee Doodle Dandy,7.6,16184
986785,Zero Dark Thirty,7.4,308187
