,film,rating,numVotes
161,Doctor Zhivago ,7.9,79217.0
162,Ship of Fools ,7.0,6517.0
163,A Man for All Seasons ,7.7,35822.0
164,Alfie ,6.2,53899.0
165,"The Russians Are Coming, the Russians Are Coming",7.0,9316.0
166,The Sand Pebbles ,7.5,15652.0
167,Who's Afraid of Virginia Woolf? ,8.0,77348.0
168,In the Heat of the Night ,7.6,5649.0
169,Bonnie and Clyde ,7.7,116284.0
170,Doctor Dolittle ,5.4,99350.0
171,Oliver! ,7.4,39921.0
172,Funny Girl ,7.3,23869.0
173,The Lion in Winter ,7.9,32541.0
174,Romeo and Juliet ,7.6,33417.0
175,"Hello, Dolly! ",7.0,16126.0
176,Z ,8.2,29921.0
177,Patton ,7.9,104860.0
178,Airport ,6.6,20129.0
179,Love Story ,6.9,35647.0
180,M*A*S*H ,8.4,59843.0
181,The French Connection ,7.7,127344.0
182,A Clockwork Orange ,8.3,846321.0
183,Fiddler on the Roof ,8.0,45321.0
184,Cabaret ,7.8,57026.0
185,The Emigrants ,6.6,2037.0
186,Sounder ,7.5,4533.0
187,A Touch of Class ,6.5,3301.0
188,Chinatown ,8.2,334051.0
189,Lenny ,7.6,16725.0
190,One Flew Over the Cuckoo's Nest ,8.7,1026771.0
191,Jaws ,8.1,622190.0
192,Nashville ,7.7,26514.0
193,All the President's Men ,7.9,119851.0
194,Bound for Glory ,7.3,5384.0
195,Network ,8.1,163186.0
196,Julia ,8.3,9121.0
197,Star Wars ,7.0,21045.0
198,The Turning Point ,6.8,4878.0
199,Coming Home ,7.3,14023.0
200,Heaven Can Wait ,6.9,22323.0
201,Midnight Express ,7.5,83992.0
202,All That Jazz ,7.8,33356.0
203,Coal Miner's Daughter ,7.5,19545.0
204,The Elephant Man ,8.2,247328.0
205,Tess ,7.3,17441.0
206,Atlantic City ,7.3,17563.0
207,On Golden Pond ,7.6,32992.0
208,Reds ,7.3,23693.0
209,Gandhi ,8.0,236045.0
210,Missing ,7.1,28473.0
211,The Big Chill ,7.1,39246.0
212,The Dresser ,7.5,5467.0
213,The Right Stuff ,7.8,63106.0
214,Amadeus ,8.4,409043.0
215,The Killing Fields ,7.8,57137.0
216,A Passage to India ,7.3,19621.0
217,Out of Africa ,7.1,82981.0
218,The Color Purple ,,
219,Kiss of the Spider Woman ,7.3,16686.0
220,Witness ,7.4,99282.0
221,Platoon ,8.1,422633.0
222,Children of a Lesser God ,7.2,17827.0
223,The Mission ,7.4,63216.0
224,A Room with a View ,7.2,45388.0
225,Broadcast News ,7.2,32519.0
226,Hope and Glory ,7.3,13963.0
227,The Accidental Tourist ,6.7,16744.0
228,Born on the Fourth of July ,7.2,110794.0
229,Ghost ,7.1,224994.0
230,The Silence of the Lambs ,8.6,1464229.0
231,Beauty and the Beast ,7.1,318261.0
232,JFK ,8.0,161615.0
233,Howards End ,7.4,34027.0
234,Scent of a Woman ,8.0,308964.0
235,The Fugitive ,7.8,304022.0
236,In the Name of the Father ,8.1,179554.0
237,The Remains of the Day ,7.8,78266.0
238,Quiz Show ,7.5,71373.0
239,Apollo 13 ,7.7,302775.0
240,Babe ,6.9,129210.0
241,Il Postino: The Postman,,
242,Sense and Sensibility ,7.7,119907.0
243,The English Patient ,7.4,194708.0
244,Fargo ,8.9,382775.0
245,Shine ,7.6,55253.0
246,Titanic ,7.9,1217053.0
247,L.A. Confidential ,8.2,592245.0
248,Elizabeth ,7.4,102061.0
249,The Thin Red Line ,7.6,192494.0
250,American Beauty ,8.3,1171981.0
251,The Cider House Rules ,7.4,102011.0
