,model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse,training_time_ms,predict_time_per_row_ms,algo
37,DeepLearning_grid_3_AutoML_1_20230517_160832_model_8,0.519933946685539,1.0154767141419154,0.1744063321482351,0.4268695447039395,0.4094663523630066,0.1676626937174659,10804,0.119982,DeepLearning
38,DeepLearning_grid_2_AutoML_1_20230517_160832_model_3,0.5166312809624912,0.9970533555295286,0.1766295480096519,0.4077612644491625,0.3966045354085124,0.157295157506602,2617,0.042277,DeepLearning
39,GBM_grid_1_AutoML_1_20230517_160832_model_10,0.5128568058504365,0.481215761055208,0.1644232240077195,0.4274593064401981,0.3705371019053924,0.1372977438884471,102,0.04933,GBM
40,GBM_3_AutoML_1_20230517_160832,0.5090823307383817,0.5060151649063604,0.1462223905792783,0.4260438782731776,0.3823348932926401,0.1461799706290944,148,0.032479,GBM
41,DeepLearning_grid_2_AutoML_1_20230517_160832_model_1,0.5001179523472518,1.1528000713517672,0.2403321447687656,0.4028072658645907,0.4039658194266423,0.1631883832650385,5306,0.071989,DeepLearning
42,DeepLearning_grid_3_AutoML_1_20230517_160832_model_20,0.4975230007077141,0.6116170574997587,0.1395554905129767,0.4477471101674923,0.4073792836867041,0.1659578807770921,2620,0.044033,DeepLearning
43,DeepLearning_grid_1_AutoML_1_20230517_160832_model_2,0.4920971927341354,1.3716231601589808,0.1573245066560195,0.4167256428402925,0.4196782436975651,0.1761298282330728,2631,0.064501,DeepLearning
44,DeepLearning_grid_3_AutoML_1_20230517_160832_model_13,0.4911535739561217,1.082240456483638,0.1952420861252264,0.4338287331917905,0.3702796024887691,0.1371069840192408,5103,0.060801,DeepLearning
45,DeepLearning_grid_1_AutoML_1_20230517_160832_model_17,0.4895022410945978,1.0061672981666585,0.1683193080574893,0.4262797829676811,0.4334511443663549,0.1878798945525026,4602,0.041117,DeepLearning
46,DeepLearning_grid_1_AutoML_1_20230517_160832_model_9,0.4871431941495636,1.665332804800551,0.1392628960496011,0.4383109223873555,0.4800095757107123,0.2304091927739781,5064,0.064782,DeepLearning
