year,film,wiki,winner
1972,The Last Picture Show,/wiki/The_Last_Picture_Show,False
1973,Day for Night (film),/wiki/Day_for_Night_(film),True
1973,The Day of the Jackal (film),/wiki/The_Day_of_the_Jackal_(film),False
1973,The Discreet Charm of the Bourgeoisie,/wiki/The_Discreet_Charm_of_the_Bourgeoisie,False
1973,Don't Look Now,/wiki/Don%27t_Look_Now,False
1974,"Lacombe, Lucien","/wiki/Lacombe,_Lucien",True
1974,Chinatown (1974 film),/wiki/Chinatown_(1974_film),False
1974,The Last Detail,/wiki/The_Last_Detail,False
1974,Murder on the Orient Express (1974 film),/wiki/Murder_on_the_Orient_Express_(1974_film),False
1975,Alice Doesn't Live Here Anymore,/wiki/Alice_Doesn%27t_Live_Here_Anymore,True
1975,Barry Lyndon,/wiki/Barry_Lyndon,False
1975,Dog Day Afternoon,/wiki/Dog_Day_Afternoon,False
1975,Jaws (film),/wiki/Jaws_(film),False
1976,One Flew Over the Cuckoo's Nest (film),/wiki/One_Flew_Over_the_Cuckoo%27s_Nest_(film),True
1976,All the President's Men (film),/wiki/All_the_President%27s_Men_(film),False
1976,Bugsy Malone,/wiki/Bugsy_Malone,False
1976,Taxi Driver,/wiki/Taxi_Driver,False
1977,Annie Hall,/wiki/Annie_Hall,True
1977,A Bridge Too Far (film),/wiki/A_Bridge_Too_Far_(film),False
1977,Network (1976 film),/wiki/Network_(1976_film),False
1977,Rocky,/wiki/Rocky,False
1978,Julia (1977 film),/wiki/Julia_(1977_film),True
1978,Close Encounters of the Third Kind,/wiki/Close_Encounters_of_the_Third_Kind,False
1978,Midnight Express (film),/wiki/Midnight_Express_(film),False
1978,Star Wars (film),/wiki/Star_Wars_(film),False
1979,Manhattan (1979 film),/wiki/Manhattan_(1979_film),True
1979,Apocalypse Now,/wiki/Apocalypse_Now,False
1979,The China Syndrome,/wiki/The_China_Syndrome,False
1979,The Deer Hunter,/wiki/The_Deer_Hunter,False
1980,The Elephant Man (film),/wiki/The_Elephant_Man_(film),True
1980,Being There,/wiki/Being_There,False
1980,Kagemusha,/wiki/Kagemusha,False
1980,Kramer vs. Kramer,/wiki/Kramer_vs._Kramer,False
1981,Chariots of Fire,/wiki/Chariots_of_Fire,True
1981,Atlantic City (1980 film),/wiki/Atlantic_City_(1980_film),False
1981,The French Lieutenant's Woman (film),/wiki/The_French_Lieutenant%27s_Woman_(film),False
1981,Gregory's Girl,/wiki/Gregory%27s_Girl,False
1981,Raiders of the Lost Ark,/wiki/Raiders_of_the_Lost_Ark,False
1982,Gandhi (film),/wiki/Gandhi_(film),True
1982,E.T. the Extra-Terrestrial,/wiki/E.T._the_Extra-Terrestrial,False
1982,Missing (1982 film),/wiki/Missing_(1982_film),False
1982,On Golden Pond (1981 film),/wiki/On_Golden_Pond_(1981_film),False
1983,Educating Rita (film),/wiki/Educating_Rita_(film),True
1983,Heat and Dust (film),/wiki/Heat_and_Dust_(film),False
1983,Local Hero (film),/wiki/Local_Hero_(film),False
1983,Tootsie,/wiki/Tootsie,False
1984,The Killing Fields (film),/wiki/The_Killing_Fields_(film),True
1984,The Dresser (1983 film),/wiki/The_Dresser_(1983_film),False
1984,"Paris, Texas (film)","/wiki/Paris,_Texas_(film)",False
1984,A Private Function,/wiki/A_Private_Function,False
1985,The Purple Rose of Cairo,/wiki/The_Purple_Rose_of_Cairo,True
1985,Amadeus (film),/wiki/Amadeus_(film),False
1985,Back to the Future,/wiki/Back_to_the_Future,False
1985,A Passage to India (film),/wiki/A_Passage_to_India_(film),False
1985,Witness (1985 film),/wiki/Witness_(1985_film),False
1986,A Room with a View (1985 film),/wiki/A_Room_with_a_View_(1985_film),True
1986,Hannah and Her Sisters,/wiki/Hannah_and_Her_Sisters,False
1986,The Mission (1986 film),/wiki/The_Mission_(1986_film),False
1986,Mona Lisa (1986 film),/wiki/Mona_Lisa_(1986_film),False
1987,Jean de Florette,/wiki/Jean_de_Florette,True
1987,Cry Freedom,/wiki/Cry_Freedom,False
1987,Hope and Glory (film),/wiki/Hope_and_Glory_(film),False
1987,Radio Days,/wiki/Radio_Days,False
1988,The Last Emperor,/wiki/The_Last_Emperor,True
1988,Au revoir les enfants,/wiki/Au_revoir_les_enfants,False
1988,Babette's Feast,/wiki/Babette%27s_Feast,False
1988,A Fish Called Wanda,/wiki/A_Fish_Called_Wanda,False
1989,Dead Poets Society,/wiki/Dead_Poets_Society,True
1989,My Left Foot,/wiki/My_Left_Foot,False
1989,Shirley Valentine (film),/wiki/Shirley_Valentine_(film),False
1989,When Harry Met Sally...,/wiki/When_Harry_Met_Sally...,False
1990,Goodfellas,/wiki/Goodfellas,True
1990,Crimes and Misdemeanors,/wiki/Crimes_and_Misdemeanors,False
1990,Driving Miss Daisy,/wiki/Driving_Miss_Daisy,False
1990,Pretty Woman,/wiki/Pretty_Woman,False
1991,The Commitments (film),/wiki/The_Commitments_(film),True
1991,Dances with Wolves,/wiki/Dances_with_Wolves,False
1991,The Silence of the Lambs (film),/wiki/The_Silence_of_the_Lambs_(film),False
1991,Thelma & Louise,/wiki/Thelma_%26_Louise,False
1992,Howards End (film),/wiki/Howards_End_(film),True
1992,The Crying Game,/wiki/The_Crying_Game,False
1992,The Player (1992 film),/wiki/The_Player_(1992_film),False
1992,Strictly Ballroom,/wiki/Strictly_Ballroom,False
1992,Unforgiven,/wiki/Unforgiven,False
1993,Schindler's List,/wiki/Schindler%27s_List,True
1993,The Piano,/wiki/The_Piano,False
1993,The Remains of the Day (film),/wiki/The_Remains_of_the_Day_(film),False
1993,Shadowlands (1993 film),/wiki/Shadowlands_(1993_film),False
1994,Four Weddings and a Funeral,/wiki/Four_Weddings_and_a_Funeral,True
1994,Forrest Gump,/wiki/Forrest_Gump,False
1994,Pulp Fiction,/wiki/Pulp_Fiction,False
1994,Quiz Show (film),/wiki/Quiz_Show_(film),False
1995,Sense and Sensibility (film),/wiki/Sense_and_Sensibility_(film),True
1995,Babe (film),/wiki/Babe_(film),False
1995,The Madness of King George,/wiki/The_Madness_of_King_George,False
1995,The Usual Suspects,/wiki/The_Usual_Suspects,False
1996,The English Patient (film),/wiki/The_English_Patient_(film),True
1996,Fargo (1996 film),/wiki/Fargo_(1996_film),False
1996,Secrets & Lies (film),/wiki/Secrets_%26_Lies_(film),False
1996,Shine (film),/wiki/Shine_(film),False
1997,The Full Monty,/wiki/The_Full_Monty,True
1997,L.A. Confidential (film),/wiki/L.A._Confidential_(film),False
1997,Mrs Brown,/wiki/Mrs_Brown,False
1997,Titanic (1997 film),/wiki/Titanic_(1997_film),False
1998,Shakespeare in Love,/wiki/Shakespeare_in_Love,True
1998,Elizabeth (film),/wiki/Elizabeth_(film),False
1998,Saving Private Ryan,/wiki/Saving_Private_Ryan,False
1998,The Truman Show,/wiki/The_Truman_Show,False
1999,American Beauty (1999 film),/wiki/American_Beauty_(1999_film),True
1999,East Is East (1999 film),/wiki/East_Is_East_(1999_film),False
1999,The End of the Affair (1999 film),/wiki/The_End_of_the_Affair_(1999_film),False
1999,The Sixth Sense,/wiki/The_Sixth_Sense,False
1999,The Talented Mr. Ripley (film),/wiki/The_Talented_Mr._Ripley_(film),False
2000,Gladiator (2000 film),/wiki/Gladiator_(2000_film),True
2000,Almost Famous,/wiki/Almost_Famous,False
2000,Billy Elliot,/wiki/Billy_Elliot,False
2000,"Crouching Tiger, Hidden Dragon","/wiki/Crouching_Tiger,_Hidden_Dragon",False
2000,Erin Brockovich (film),/wiki/Erin_Brockovich_(film),False
2001,The Lord of the Rings: The Fellowship of the Ring,/wiki/The_Lord_of_the_Rings:_The_Fellowship_of_the_Ring,True
