year,film,wiki,winner
1967,Guess Who's Coming to Dinner,/wiki/Guess_Who%27s_Coming_to_Dinner,False
1967,In Cold Blood ,/wiki/In_Cold_Blood_(film),False
1968,The Lion in Winter ,/wiki/The_Lion_in_Winter_(1968_film),True
1968,Charly,/wiki/Charly,False
1968,The Fixer ,/wiki/The_Fixer_(1968_film),False
1968,The Heart Is a Lonely Hunter ,/wiki/The_Heart_Is_a_Lonely_Hunter_(film),False
1968,The Shoes of the Fisherman ,/wiki/The_Shoes_of_the_Fisherman_(movie),False
1969,Anne of the Thousand Days,/wiki/Anne_of_the_Thousand_Days,True
1969,Butch Cassidy and the Sundance Kid,/wiki/Butch_Cassidy_and_the_Sundance_Kid,False
1969,Midnight Cowboy,/wiki/Midnight_Cowboy,False
1969,The Prime of Miss Jean Brodie ,/wiki/The_Prime_of_Miss_Jean_Brodie_(film),False
1969,"They Shoot Horses, Don't They? ","/wiki/They_Shoot_Horses,_Don%27t_They%3F_(film)",False
1970,Love Story ,/wiki/Love_Story_(1970_film),True
1970,Airport ,/wiki/Airport_(1970_film),False
1970,Five Easy Pieces,/wiki/Five_Easy_Pieces,False
1970,I Never Sang for My Father,/wiki/I_Never_Sang_for_My_Father,False
1970,Patton ,/wiki/Patton_(film),False
1971,The French Connection ,/wiki/The_French_Connection_(film),True
1971,A Clockwork Orange ,/wiki/A_Clockwork_Orange_(film),False
1971,The Last Picture Show,/wiki/The_Last_Picture_Show,False
1971,"Mary, Queen of Scots ","/wiki/Mary,_Queen_of_Scots_(1971_film)",False
1971,Summer of '42,/wiki/Summer_of_%2742,False
1972,The Godfather,/wiki/The_Godfather,True
1972,Deliverance,/wiki/Deliverance,False
1972,Frenzy,/wiki/Frenzy,False
1972,The Poseidon Adventure ,/wiki/The_Poseidon_Adventure_(1972_film),False
1972,Sleuth ,/wiki/Sleuth_(1972_film),False
1973,The Exorcist,/wiki/The_Exorcist,True
1973,Cinderella Liberty,/wiki/Cinderella_Liberty,False
1973,The Day of the Jackal ,/wiki/The_Day_of_the_Jackal_(film),False
1973,Last Tango in Paris,/wiki/Last_Tango_in_Paris,False
1973,Save the Tiger,/wiki/Save_the_Tiger,False
1973,Serpico,/wiki/Serpico,False
1974,Chinatown ,/wiki/Chinatown_(1974_film),True
1974,The Conversation,/wiki/The_Conversation,False
1974,Earthquake ,/wiki/Earthquake_(1974_film),False
1974,The Godfather Part II,/wiki/The_Godfather_Part_II,False
