year,film,wiki,nominations
1992,Howards End,/wiki/Howards_End_(film),9
1963,Hud,/wiki/Hud_(1963_film),7
2011,Hugo,/wiki/Hugo_(film),11
2005,Hustle & Flow,/wiki/Hustle_%26_Flow,2
1988,Hôtel Terminus: The Life and Times of Klaus Barbie,/wiki/H%C3%B4tel_Terminus:_The_Life_and_Times_of_Klaus_Barbie,1
1993,I Am a Promise: The Children of Stanton Elementary School,/wiki/I_Am_a_Promise:_The_Children_of_Stanton_Elementary_School,1
1958,I Want to Live!,/wiki/I_Want_to_Live!,6
1941,I Wanted Wings,/wiki/I_Wanted_Wings,1
1944,I Won't Play,/wiki/I_Won%27t_Play,1
1955,I'll Cry Tomorrow,/wiki/I%27ll_Cry_Tomorrow,4
1977,I'll Find a Way,/wiki/I%27ll_Find_a_Way,1
2017,"I, Tonya","/wiki/I,_Tonya",3
2017,Icarus,/wiki/Icarus_(2017_film),1
2014,Ida,/wiki/Ida_(film),2
2020  /  21,If Anything Happens I Love You,/wiki/If_Anything_Happens_I_Love_You,1
2018,If Beale Street Could Talk,/wiki/If_Beale_Street_Could_Talk_(film),3
1982,If You Love This Planet,/wiki/If_You_Love_This_Planet,1
1995,Il Postino: The Postman,/wiki/Il_Postino:_The_Postman,5
1950,In Beaver Valley,/wiki/In_Beaver_Valley,1
1928  /  29,In Old Arizona,/wiki/In_Old_Arizona,5
1937,In Old Chicago,/wiki/In_Old_Chicago,6
1942,In Which We Serve,/wiki/In_Which_We_Serve,2
2010,In a Better World,/wiki/In_a_Better_World,1
1967,In the Heat of the Night,/wiki/In_the_Heat_of_the_Night_(film),7
1976,In the Region of Ice,/wiki/In_the_Region_of_Ice,1
1991,In the Shadow of the Stars,/wiki/In_the_Shadow_of_the_Stars,1
2010,Inception,/wiki/Inception,8
1996,Independence Day,/wiki/Independence_Day_(1996_film),2
1989,Indiana Jones and the Last Crusade,/wiki/Indiana_Jones_and_the_Last_Crusade,3
1984,Indiana Jones and the Temple of Doom,/wiki/Indiana_Jones_and_the_Temple_of_Doom,2
1992,Indochine,/wiki/Indochine_(film),2
2009,Inglourious Basterds,/wiki/Inglourious_Basterds,8
1987,Innerspace,/wiki/Innerspace,1
2012,Inocente,/wiki/Inocente,1
2010,Inside Job,/wiki/Inside_Job_(2010_film),1
2015,Inside Out,/wiki/Inside_Out_(2015_film),2
1955,Interrupted Melody,/wiki/Interrupted_Melody,3
2014,Interstellar,/wiki/Interstellar_(film),5
1970,Interviews with My Lai Veterans,/wiki/Interviews_with_My_Lai_Veterans,1
2000,Into the Arms of Strangers: Stories of the Kindertransport,/wiki/Into_the_Arms_of_Strangers:_Stories_of_the_Kindertransport,1
1970,Investigation of a Citizen Above Suspicion,/wiki/Investigation_of_a_Citizen_Above_Suspicion,2
2001,Iris,/wiki/Iris_(2001_film),3
1963,Irma la Douce,/wiki/Irma_la_Douce,3
1970,Is It Always Right to Be Right?,/wiki/Is_It_Always_Right_to_Be_Right%3F,1
1934,It Happened One Night,/wiki/It_Happened_One_Night,5
1969,It's Tough to Be a Bird,/wiki/It%27s_Tough_to_Be_a_Bird,1
1963,"It's a Mad, Mad, Mad, Mad World","/wiki/It%27s_a_Mad,_Mad,_Mad,_Mad_World",6
1991,JFK,/wiki/JFK_(film),8
1975,Jaws,/wiki/Jaws_(film),4
1996,Jerry Maguire,/wiki/Jerry_Maguire,5
1938,Jezebel,/wiki/Jezebel_(1938_film),5
1948,Joan of Arc,/wiki/Joan_of_Arc_(1948_film),7
1952,Johann Mouse,/wiki/Johann_Mouse,1
1948,Johnny Belinda,/wiki/Johnny_Belinda_(1948_film),12
1942,Johnny Eager,/wiki/Johnny_Eager,1
2019,Jojo Rabbit,/wiki/Jojo_Rabbit,6
2019,Joker,/wiki/Joker_(2019_film),11
1968,Journey into Self,/wiki/Journey_into_Self_(1968_film),1
1990,Journey of Hope,/wiki/Journey_of_Hope_(film),1
2020  /  21,Judas and the Black Messiah,/wiki/Judas_and_the_Black_Messiah,6
1961,Judgment at Nuremberg,/wiki/Judgment_at_Nuremberg,11
2019,Judy,/wiki/Judy_(film),2
1977,Julia,/wiki/Julia_(1977_film),11
1953,Julius Caesar,/wiki/Julius_Caesar_(1953_film),5
2007,Juno,/wiki/Juno_(film),4
1993,Jurassic Park,/wiki/Jurassic_Park_(film),3
1982,Just Another Missing Kid,/wiki/Just_Another_Missing_Kid,1
1980,Karl Hess: Toward Liberty,/wiki/Karl_Hess:_Toward_Liberty,1
1938,Kentucky,/wiki/Kentucky_(film),1
1948,Key Largo,/wiki/Key_Largo_(film),1
1999,King Gimp,/wiki/King_Gimp,1
2005,King Kong,/wiki/King_Kong_(2005_film),4
1950,King Solomon's Mines,/wiki/King_Solomon%27s_Mines_(1950_film),3
1929  /  30,King of Jazz,/wiki/King_of_Jazz,1
1985,Kiss of the Spider Woman,/wiki/Kiss_of_the_Spider_Woman_(film),4
1940,Kitty Foyle,/wiki/Kitty_Foyle_(film),5
1971,Klute,/wiki/Klute,2
1958,Knighty Knight Bugs,/wiki/Knighty_Knight_Bugs,1
1942,Kokoda Front Line!,/wiki/Kokoda_Front_Line!,1
1996,Kolya,/wiki/Kolya,1
1950,Kon-Tiki,/wiki/Kon-Tiki_(1950_film),1
1932  /  33,Krakatoa,/wiki/Krakatoa_(film),1
1979,Kramer vs. Kramer,/wiki/Kramer_vs._Kramer,9
1941,Kukan,/wiki/Kukan,0
1997,L.A. Confidential,/wiki/L.A._Confidential_(film),9
1934,La Cucaracha,/wiki/La_Cucaracha_(1934_film),1
1961,La Dolce Vita,/wiki/La_Dolce_Vita,4
2016,La La Land,/wiki/La_La_Land_(film),14
2008,La Maison en Petits Cubes,/wiki/La_Maison_en_Petits_Cubes,1
1956,La Strada,/wiki/La_Strada,2
2007,La Vie en rose,/wiki/La_Vie_en_rose_(film),3
1941,Lady Be Good,/wiki/Lady_Be_Good_(1941_film),1
1944,Laura,/wiki/Laura_(1944_film),5
1962,Lawrence of Arabia,/wiki/Lawrence_of_Arabia_(film),10
2007,Le Mozart des pickpockets,/wiki/Le_Mozart_des_pickpockets,1
1945,Leave Her to Heaven,/wiki/Leave_Her_to_Heaven,4
1995,Leaving Las Vegas,/wiki/Leaving_Las_Vegas,4
1994,Legends of the Fall,/wiki/Legends_of_the_Fall,3
1976,Leisure,/wiki/Leisure_(film),1
2004,Lemony Snicket's A Series of Unfortunate Events,/wiki/Lemony_Snicket%27s_A_Series_of_Unfortunate_Events,4
1941,Lend a Paw,/wiki/Lend_a_Paw,1
1957,Les Girls,/wiki/Les_Girls,3
2012,Les Misérables,/wiki/Les_Mis%C3%A9rables_(2012_film),8
1970,Let It Be,/wiki/Let_It_Be_(1970_film),1
2006,Letters from Iwo Jima,/wiki/Letters_from_Iwo_Jima,4
1995,Lieberman in Love,/wiki/Lieberman_in_Love,1
1998,Life Is Beautiful,/wiki/Life_Is_Beautiful,7
2012,Life of Pi,/wiki/Life_of_Pi_(film),11
1952,Light in the Window,/wiki/Light_in_the_Window,1
1953,Lili,/wiki/Lili,6
1963,Lilies of the Field,/wiki/Lilies_of_the_Field_(1963_film),5
1972,Limelight,/wiki/Limelight_(1952_film),1
2012,Lincoln,/wiki/Lincoln_(film),12
2006,Little Miss Sunshine,/wiki/Little_Miss_Sunshine,4
2019,Little Women,/wiki/Little_Women_(2019_film),6
1976,Logan's Run,/wiki/Logan%27s_Run_(film),2
2009,Logorama,/wiki/Logorama,1
1937,Lost Horizon,/wiki/Lost_Horizon_(1937_film),7
2003,Lost in Translation,/wiki/Lost_in_Translation_(film),4
1955,Love Is a Many-Splendored Thing,/wiki/Love_Is_a_Many-Splendored_Thing_(film),8
1955,Love Me or Leave Me,/wiki/Love_Me_or_Leave_Me_(film),6
1970,Love Story,/wiki/Love_Story_(1970_film),7
1970,Lovers and Other Strangers,/wiki/Lovers_and_Other_Strangers,3
1956,Lust for Life,/wiki/Lust_for_Life_(1956_film),4
1970,M*A*S*H,/wiki/MASH_(film),5
2020  /  21,Ma Rainey's Black Bottom,/wiki/Ma_Rainey%27s_Black_Bottom_(film),5
2015,Mad Max: Fury Road,/wiki/Mad_Max:_Fury_Road,10
1977,Madame Rosa,/wiki/Madame_Rosa,1
1956,Magoo's Puddle Jumper,/wiki/Magoo%27s_Puddle_Jumper,1
1941,Main Street on the March!,/wiki/Main_Street_on_the_March!,1
2008,Man on Wire,/wiki/Man_on_Wire,1
2016,Manchester by the Sea,/wiki/Manchester_by_the_Sea_(film),6
1934,Manhattan Melodrama,/wiki/Manhattan_Melodrama,1
1991,Manipulation,/wiki/Manipulation_(film),1
2020  /  21,Mank,/wiki/Mank,10
2005,March of the Penguins,/wiki/March_of_the_Penguins,1
2006,Marie Antoinette,/wiki/Marie_Antoinette_(2006_film),1
1945,Marie-Louise,/wiki/Marie-Louise_(film),1
1972,Marjoe,/wiki/Marjoe,1
1969,Marooned,/wiki/Marooned_(1969_film),3
2019,Marriage Story,/wiki/Marriage_Story,6
1955,Marty,/wiki/Marty_(film),8
1964,Mary Poppins,/wiki/Mary_Poppins_(film),13
1985,Mask,/wiki/Mask_(1985_film),1
2003,Master and Commander: The Far Side of the World,/wiki/Master_and_Commander:_The_Far_Side_of_the_World,10
1994,Maya Lin: A Strong Clear Vision,/wiki/Maya_Lin:_A_Strong_Clear_Vision,1
1991,Mediterraneo,/wiki/Mediterraneo,1
1980,Melvin and Howard,/wiki/Melvin_and_Howard,3
2005,Memoirs of a Geisha,/wiki/Memoirs_of_a_Geisha_(film),6
1955,Men Against the Arctic,/wiki/Men_Against_the_Arctic,1
1997,Men in Black,/wiki/Men_in_Black_(1997_film),3
1981,Mephisto,/wiki/Mephisto_(1981_film),1
2007,Michael Clayton,/wiki/Michael_Clayton_(film),7
1969,Midnight Cowboy,/wiki/Midnight_Cowboy,7
1978,Midnight Express,/wiki/Midnight_Express_(film),6
2011,Midnight in Paris,/wiki/Midnight_in_Paris,4
1995,Mighty Aphrodite,/wiki/Mighty_Aphrodite,2
1949,Mighty Joe Young,/wiki/Mighty_Joe_Young_(1949_film),1
2004,Mighty Times: The Children's March,/wiki/Mighty_Times:_The_Children%27s_March,1
1945,Mildred Pierce,/wiki/Mildred_Pierce_(film),6
2008,Milk,/wiki/Milk_(2008_American_film),8
2004,Million Dollar Baby,/wiki/Million_Dollar_Baby,7
1930  /  31,Min and Bill,/wiki/Min_and_Bill,1
2020  /  21,Minari,/wiki/Minari_(film),6
1947,Miracle on 34th Street,/wiki/Miracle_on_34th_Street,4
1990,Misery,/wiki/Misery_(film),1
1982,Missing,/wiki/Missing_(1982_film),4
1988,Mississippi Burning,/wiki/Mississippi_Burning,7
1955,Mister Roberts,/wiki/Mister_Roberts_(1955_film),3
1985,Molly's Pilgrim,/wiki/Molly%27s_Pilgrim,1
1992,Mona Lisa Descending a Staircase,/wiki/Mona_Lisa_Descending_a_Staircase,1
1948,Monsieur Vincent,/wiki/Monsieur_Vincent,0
2003,Monster,/wiki/Monster_(2003_film),1
2001,Monster's Ball,/wiki/Monster%27s_Ball,2
2001,"Monsters, Inc.","/wiki/Monsters,_Inc.",4
1959,Moonbird,/wiki/Moonbird,1
2016,Moonlight,/wiki/Moonlight_(2016_film),8
1987,Moonstruck,/wiki/Moonstruck,6
1932  /  33,Morning Glory,/wiki/Morning_Glory_(1933_film),1
1980,Moscow Does Not Believe in Tears,/wiki/Moscow_Does_Not_Believe_in_Tears,1
1942,Moscow Strikes Back,/wiki/Moscow_Strikes_Back,1
1947,Mother Wore Tights,/wiki/Mother_Wore_Tights,3
1952,Moulin Rouge,/wiki/Moulin_Rouge_(1952_film),7
2001,Moulin Rouge!,/wiki/Moulin_Rouge!,8
1944,Mouse Trouble,/wiki/Mouse_Trouble,1
2013,Mr Hublot,/wiki/Mr_Hublot,1
1936,Mr. Deeds Goes to Town,/wiki/Mr._Deeds_Goes_to_Town,5
1939,Mr. Smith Goes to Washington,/wiki/Mr._Smith_Goes_to_Washington,11
1993,Mrs. Doubtfire,/wiki/Mrs._Doubtfire,1
1942,Mrs. Miniver,/wiki/Mrs._Miniver,12
1960,Munro,/wiki/Munro_(film),1
2001,Murder on a Sunday Morning,/wiki/Murder_on_a_Sunday_Morning,1
1974,Murder on the Orient Express,/wiki/Murder_on_the_Orient_Express_(1974_film),6
2009,Music by Prudence,/wiki/Music_by_Prudence,1
1935,Mutiny on the Bounty,/wiki/Mutiny_on_the_Bounty_(1935_film),8
1992,My Cousin Vinny,/wiki/My_Cousin_Vinny,1
1964,My Fair Lady,/wiki/My_Fair_Lady_(film),12
1942,My Gal Sal,/wiki/My_Gal_Sal,2
1989,My Left Foot,/wiki/My_Left_Foot,5
1999,My Mother Dreams the Satan's Disciples in New York,/wiki/My_Mother_Dreams_the_Satan%27s_Disciples_in_New_York,1
2020  /  21,My Octopus Teacher,/wiki/My_Octopus_Teacher,1
1958,My Uncle,/wiki/Mon_Oncle,1
2003,Mystic River,/wiki/Mystic_River_(film),6
1975,Nashville,/wiki/Nashville_(film),5
1945,National Velvet,/wiki/National_Velvet_(film),5
1951,Nature's Half Acre,/wiki/Nature%27s_Half_Acre,1
1935,Naughty Marietta,/wiki/Naughty_Marietta_(film),2
1952,Neighbours,/wiki/Neighbours_(1952_film),2
1949,Neptune's Daughter,/wiki/Neptune%27s_Daughter_(1949_film),1
1976,Network,/wiki/Network_(1976_film),10
1960,Never on Sunday,/wiki/Never_on_Sunday,5
1971,Nicholas and Alexandra,/wiki/Nicholas_and_Alexandra,6
1957,Nights of Cabiria,/wiki/Nights_of_Cabiria,1
1964,Nine from Little Rock,/wiki/Nine_from_Little_Rock,1
2007,No Country for Old Men,/wiki/No_Country_for_Old_Men_(film),8
2001,No Man's Land,/wiki/No_Man%27s_Land_(2001_film),1
2021,No Time to Die,/wiki/No_Time_to_Die,3
2020  /  21,Nomadland,/wiki/Nomadland_(film),6
1944,None But the Lonely Heart,/wiki/None_but_the_Lonely_Heart_(film),4
1979,Norma Rae,/wiki/Norma_Rae,4
1972,Norman Rockwell's World... An American Dream,/wiki/Norman_Rockwell%27s_World..._An_American_Dream,1
1940,North West Mounted Police,/wiki/North_West_Mounted_Police_(film),5
1942,"Now, Voyager","/wiki/Now,_Voyager",3
2002,Nowhere in Africa,/wiki/Nowhere_in_Africa,1
1976,Number Our Days,/wiki/Number_Our_Days,1
2016,O.J.: Made in America,/wiki/O.J.:_Made_in_America,1
1941,Of Pups and Puzzles,/wiki/Of_Pups_and_Puzzles,1
1955,Oklahoma!,/wiki/Oklahoma!_(1955_film),4
1968,Oliver!,/wiki/Oliver!_(film),11
1992,Omnibus,/wiki/Omnibus_(film),1
1981,On Golden Pond,/wiki/On_Golden_Pond_(1981_film),10
1949,On the Town,/wiki/On_the_Town_(film),1
1954,On the Waterfront,/wiki/On_the_Waterfront,12
2007,Once,/wiki/Once_(film),1
2019,Once Upon a Time in Hollywood,/wiki/Once_Upon_a_Time_in_Hollywood,10
1999,One Day in September,/wiki/One_Day_in_September,1
1975,One Flew Over the Cuckoo's Nest,/wiki/One_Flew_Over_the_Cuckoo%27s_Nest_(film),9
1937,One Hundred Men and a Girl,/wiki/One_Hundred_Men_and_a_Girl,5
1934,One Night of Love,/wiki/One_Night_of_Love,6
1995,One Survivor Remembers,/wiki/One_Survivor_Remembers,1
1932  /  33,One Way Passage,/wiki/One_Way_Passage,1
1974,One-Eyed Men Are Kings,/wiki/One-Eyed_Men_Are_Kings,1
1980,Ordinary People,/wiki/Ordinary_People,6
1985,Out of Africa,/wiki/Out_of_Africa_(film),11
1953,Overture to The Merry Wives of Windsor,/wiki/Overture_to_The_Merry_Wives_of_Windsor,1
2006,Pan's Labyrinth,/wiki/Pan%27s_Labyrinth,6
1950,Panic in the Streets,/wiki/Panic_in_the_Streets_(film),1
1963,Papa's Delicate Condition,/wiki/Papa%27s_Delicate_Condition,1
1973,Paper Moon,/wiki/Paper_Moon_(film),4
2012,Paperman,/wiki/Paperman,1
2019,Parasite,/wiki/Parasite_(2019_film),6
1970,Patton,/wiki/Patton_(film),10
1979,Paul Robeson: Tribute to an Artist,/wiki/Paul_Robeson:_Tribute_to_an_Artist,1
2001,Pearl Harbor,/wiki/Pearl_Harbor_(film),4
1988,Pelle the Conqueror,/wiki/Pelle_the_Conqueror,2
1937,Penny Wisdom,/wiki/Penny_Wisdom,1
2018,Period. End of Sentence.,/wiki/Period._End_of_Sentence.,1
2007,Peter & the Wolf,/wiki/Peter_%26_the_Wolf_(2006_film),1
2017,Phantom Thread,/wiki/Phantom_Thread,6
1943,Phantom of the Opera,/wiki/Phantom_of_the_Opera_(1943_film),4
1993,Philadelphia,/wiki/Philadelphia_(film),5
1955,Picnic,/wiki/Picnic_(1955_film),6
1959,Pillow Talk,/wiki/Pillow_Talk_(film),5
1940,Pinocchio,/wiki/Pinocchio_(1940_film),2
2016,Piper,/wiki/Piper_(film),1
2006,Pirates of the Caribbean: Dead Man's Chest,/wiki/Pirates_of_the_Caribbean:_Dead_Man%27s_Chest,4
1984,Places in the Heart,/wiki/Places_in_the_Heart,7
1968,Planet of the Apes,/wiki/Planet_of_the_Apes_(1968_film),2
1986,Platoon,/wiki/Platoon_(film),8
1952,Plymouth Adventure,/wiki/Plymouth_Adventure,1
1995,Pocahontas,/wiki/Pocahontas_(1995_film),2
2000,Pollock,/wiki/Pollock_(film),2
1960,Pollyanna,/wiki/Pollyanna_(1960_film),0
1959,Porgy and Bess,/wiki/Porgy_and_Bess_(film),4
1948,Portrait of Jennie,/wiki/Portrait_of_Jennie,2
2009,Precious,/wiki/Precious_(film),6
1986,Precious Images,/wiki/Precious_Images,1
1942,Prelude to War,/wiki/Prelude_to_War,1
1940,Pride and Prejudice,/wiki/Pride_and_Prejudice_(1940_film),1
1943,Princess O'Rourke,/wiki/Princess_O%27Rourke,1
1973,Princeton: A Search for Answers,/wiki/Princeton:_A_Search_for_Answers,1
1985,Prizzi's Honor,/wiki/Prizzi%27s_Honor,8
1961,Project Hope,/wiki/Project_Hope_(film),1
2020  /  21,Promising Young Woman,/wiki/Promising_Young_Woman,5
1994,Pulp Fiction,/wiki/Pulp_Fiction,7
1984,Purple Rain,/wiki/Purple_Rain_(film),1
1938,Pygmalion,/wiki/Pygmalion_(1938_film),4
1996,Quest,/wiki/Quest_(1996_film),1
1982,Quest for Fire,/wiki/Quest_for_Fire_(film),1
1940,Quicker'n a Wink,/wiki/Quicker%27n_a_Wink,1
1945,Quiet Please!,/wiki/Quiet_Please!,1
1980,Raging Bull,/wiki/Raging_Bull,8
1981,Raiders of the Lost Ark,/wiki/Raiders_of_the_Lost_Ark,8
1988,Rain Man,/wiki/Rain_Man,8
1985,Ran,/wiki/Ran_(film),4
2011,Rango,/wiki/Rango_(2011_film),1
1951,Rashomon,/wiki/Rashomon,1
2007,Ratatouille,/wiki/Ratatouille_(film),5
2004,Ray,/wiki/Ray_(film),6
1987,Ray's Male Heterosexual Dance Hall,/wiki/Ray%27s_Male_Heterosexual_Dance_Hall,1
1942,Reap the Wild Wind,/wiki/Reap_the_Wild_Wind,3
1940,Rebecca,/wiki/Rebecca_(1940_film),11
1981,Reds,/wiki/Reds_(film),12
1995,Restoration,/wiki/Restoration_(1995_film),2
1983,Return of the Jedi,/wiki/Return_of_the_Jedi,4
1990,Reversal of Fortune,/wiki/Reversal_of_Fortune,3
2002,Road to Perdition,/wiki/Road_to_Perdition,6
1963,Robert Frost: A Lover's Quarrel with the World,/wiki/Robert_Frost:_A_Lover%27s_Quarrel_with_the_World,1
1968,Robert Kennedy Remembered,/wiki/Robert_Kennedy_Remembered,1
1987,RoboCop,/wiki/RoboCop,2
2019,Rocketman,/wiki/Rocketman_(film),1
1976,Rocky,/wiki/Rocky,10
2018,Roma,/wiki/Roma_(2018_film),10
1953,Roman Holiday,/wiki/Roman_Holiday,10
1968,Romeo and Juliet,/wiki/Romeo_and_Juliet_(1968_film),4
2015,Room,/wiki/Room_(2015_film),4
1959,Room at the Top,/wiki/Room_at_the_Top_(1959_film),6
1968,Rosemary's Baby,/wiki/Rosemary%27s_Baby_(film),2
1986,Round Midnight,/wiki/Round_Midnight_(film),2
2004,Ryan,/wiki/Ryan_(film),1
1970,Ryan's Daughter,/wiki/Ryan%27s_Daughter,4
1954,Sabrina,/wiki/Sabrina_(1954_film),6
1950,Samson and Delilah,/wiki/Samson_and_Delilah_(1949_film),5
1955,Samurai I: Musashi Miyamoto,/wiki/Samurai_I:_Musashi_Miyamoto,0
1936,San Francisco,/wiki/San_Francisco_(1936_film),6
1973,Save the Tiger,/wiki/Save_the_Tiger,3
2011,Saving Face,/wiki/Saving_Face_(2012_film),1
1998,Saving Private Ryan,/wiki/Saving_Private_Ryan,11
1957,Sayonara,/wiki/Sayonara,10
1978,Scared Straight!,/wiki/Scared_Straight!,1
1992,Scent of a Woman,/wiki/Scent_of_a_Woman_(1992_film),4
1993,Schindler's List,/wiki/Schindler%27s_List,12
1948,Seal Island,/wiki/Seal_Island_(film),1
2012,Searching for Sugar Man,/wiki/Searching_for_Sugar_Man,1
1961,Seawards the Great Ships,/wiki/Seawards_the_Great_Ships,1
1946,Seeds of Destiny,/wiki/Seeds_of_Destiny,1
2014,Selma,/wiki/Selma_(film),2
1995,Sense and Sensibility,/wiki/Sense_and_Sensibility_(film),7
1971,Sentinels of Silence,/wiki/Sentinels_of_Silence,2
1958,Separate Tables,/wiki/Separate_Tables_(film),7
1959,Serengeti Shall Not Die,/wiki/Serengeti_Shall_Not_Die,1
1941,Sergeant York,/wiki/Sergeant_York_(film),11
1991,Session Man,/wiki/Session_Man_(film),1
1954,Seven Brides for Seven Brothers,/wiki/Seven_Brides_for_Seven_Brothers,5
1951,Seven Days to Noon,/wiki/Seven_Days_to_Noon,1
1971,Shaft,/wiki/Shaft_(1971_film),2
1998,Shakespeare in Love,/wiki/Shakespeare_in_Love,13
1975,Shampoo,/wiki/Shampoo_(film),4
1953,Shane,/wiki/Shane_(film),6
1931  /  32,Shanghai Express,/wiki/Shanghai_Express_(film),3
1949,She Wore a Yellow Ribbon,/wiki/She_Wore_a_Yellow_Ribbon,1
1996,Shine,/wiki/Shine_(film),7
1965,Ship of Fools,/wiki/Ship_of_Fools_(film),8
1947,Shoeshine,/wiki/Shoeshine_(film),1
2001,Shrek,/wiki/Shrek,2
2004,Sideways,/wiki/Sideways,5
2012,Silver Linings Playbook,/wiki/Silver_Linings_Playbook,8
1944,Since You Went Away,/wiki/Since_You_Went_Away,9
2016,Sing,/wiki/Sing_(2016_Hungarian_film),1
2005,Six Shooter,/wiki/Six_Shooter_(film),1
2018,Skin,/wiki/Skin_(2018_short_film),1
1930  /  31,Skippy,/wiki/Skippy_(film),4
1961,Sky Above and Mud Beneath,/wiki/Sky_Above_and_Mud_Beneath,1
2012,Skyfall,/wiki/Skyfall,5
1999,Sleepy Hollow,/wiki/Sleepy_Hollow_(film),3
1996,Sling Blade,/wiki/Sling_Blade_(film),2
2008,Slumdog Millionaire,/wiki/Slumdog_Millionaire,10
2008,Smile Pinki,/wiki/Smile_Pinki,1
1937,Snow White and the Seven Dwarfs,/wiki/Snow_White_and_the_Seven_Dwarfs_(1937_film),1
1949,So Much for So Little,/wiki/So_Much_for_So_Little,1
1932  /  33,So This Is Harris!,/wiki/So_This_Is_Harris!,1
1959,Some Like It Hot,/wiki/Some_Like_It_Hot,6
1956,Somebody Up There Likes Me,/wiki/Somebody_Up_There_Likes_Me_(1956_film),3
2015,Son of Saul,/wiki/Son_of_Saul,1
1960,Song Without End,/wiki/Song_Without_End,1
1947,Song of the South,/wiki/Song_of_the_South,2
1960,Sons and Lovers,/wiki/Sons_and_Lovers_(film),7
1939,Sons of Liberty,/wiki/Sons_of_Liberty_(film),1
1982,Sophie's Choice,/wiki/Sophie%27s_Choice_(film),5
2020  /  21,Soul,/wiki/Soul_(2020_film),3
2020  /  21,Sound of Metal,/wiki/Sound_of_Metal,6
1958,South Pacific,/wiki/South_Pacific_(1958_film),3
1960,Spartacus,/wiki/Spartacus_(film),6
1938,Spawn of the North,/wiki/Spawn_of_the_North,0
1942,Speaking of Animals and Their Families,/wiki/Speaking_of_Animals_and_Their_Families,1
1978,Special Delivery,/wiki/Special_Delivery_(1978_film),1
2015,Spectre,/wiki/Spectre_(2015_film),1
1994,Speed,/wiki/Speed_(1994_film),3
1955,Speedy Gonzales,/wiki/Speedy_Gonzales_(film),1
1945,Spellbound,/wiki/Spellbound_(1945_film),6
2004,Spider-Man 2,/wiki/Spider-Man_2,3
2018,Spider-Man: Into the Spider-Verse,/wiki/Spider-Man:_Into_the_Spider-Verse,1
2002,Spirited Away,/wiki/Spirited_Away,1
1961,Splendor in the Grass,/wiki/Splendor_in_the_Grass,2
2015,Spotlight,/wiki/Spotlight_(film),6
1939,Stagecoach,/wiki/Stagecoach_(1939_film),7
1945,Stairway to Light,/wiki/Stairway_to_Light,1
1953,Stalag 17,/wiki/Stalag_17,3
2009,Star Trek,/wiki/Star_Trek_(film),4
1977,Star Wars,/wiki/Star_Wars_(film),10
1945,Star in the Night,/wiki/Star_in_the_Night,1
1945,State Fair,/wiki/State_Fair_(1945_film),2
2014,Still Alice,/wiki/Still_Alice,1
2010,Strangers No More,/wiki/Strangers_No_More,1
1927  /  28,Street Angel,/wiki/Street_Angel_(1928_film),3
1940,Strike Up the Band,/wiki/Strike_Up_the_Band_(film),3
2015,Stutterer,/wiki/Stutterer_(film),1
2016,Suicide Squad,/wiki/Suicide_Squad_(2016_film),1
1971,Summer of '42,/wiki/Summer_of_%2742,4
2021,Summer of Soul,/wiki/Summer_of_Soul,1
1983,Sundae in New York,/wiki/Sundae_in_New_York,1
1962,Sundays and Cybele,/wiki/Sundays_and_Cybele,3
1927  /  28,Sunrise,/wiki/Sunrise:_A_Song_of_Two_Humans,4
1950,Sunset Boulevard,/wiki/Sunset_Boulevard_(film),11
1978,Superman,/wiki/Superman_(1978_film),3
1955,Survival City,/wiki/Survival_City,1
1941,Suspicion,/wiki/Suspicion_(1941_film),3
2007,Sweeney Todd: The Demon Barber of Fleet Street,/wiki/Sweeney_Todd:_The_Demon_Barber_of_Fleet_Street_(2007_film),3
1962,Sweet Bird of Youth,/wiki/Sweet_Bird_of_Youth_(1962_film),3
1938,Sweethearts,/wiki/Sweethearts_(1938_film),2
1936,Swing Time,/wiki/Swing_Time_(film),2
1948,Symphony of a City,/wiki/Symphony_of_a_City,1
2005,Syriana,/wiki/Syriana,2
1930  /  31,Tabu,/wiki/Tabu:_A_Story_of_the_South_Seas,1
2002,Talk to Her,/wiki/Talk_to_Her,2
1982,Tango,/wiki/Tango_(1981_film),1
1941,Target for Tonight,/wiki/Target_for_Tonight,0
1999,Tarzan,/wiki/Tarzan_(1999_film),1
2007,Taxi to the Dark Side,/wiki/Taxi_to_the_Dark_Side,1
1940,"Teddy, the Rough Rider","/wiki/Teddy,_the_Rough_Rider",1
1978,Teenage Father,/wiki/Teenage_Father,1
1927  /  28,Tempest,/wiki/Tempest_(1928_film),1
1983,Tender Mercies,/wiki/Tender_Mercies,5
2020  /  21,Tenet,/wiki/Tenet_(film),2
1991,Terminator 2: Judgment Day,/wiki/Terminator_2:_Judgment_Day,6
1983,Terms of Endearment,/wiki/Terms_of_Endearment,11
1980,Tess,/wiki/Tess_(1979_film),6
1978,Thank God It's Friday,/wiki/Thank_God_It%27s_Friday_(film),1
1941,That Hamilton Woman,/wiki/That_Hamilton_Woman,4
1938,That Mothers Might Live,/wiki/That_Mothers_Might_Live,1
1989,The Abyss,/wiki/The_Abyss,4
1988,The Accidental Tourist,/wiki/The_Accidental_Tourist_(film),4
2001,The Accountant,/wiki/The_Accountant_(2001_film),1
1988,The Accused,/wiki/The_Accused_(1988_film),1
