year,film,wiki,nominations
1977,Annie Hall,/wiki/Annie_Hall,5
2020  /  21,Another Round,/wiki/Another_Round_(film),2
1936,Anthony Adverse,/wiki/Anthony_Adverse,7
1995,Antonia's Line,/wiki/Antonia%27s_Line,1
1979,Apocalypse Now,/wiki/Apocalypse_Now,8
1995,Apollo 13,/wiki/Apollo_13_(film),9
1949,Aquatic House Party,/wiki/Aquatic_House_Party,1
2012,Argo,/wiki/Argo_(2012_film),7
1940,"Arise, My Love","/wiki/Arise,_My_Love",4
1956,Around the World in 80 Days,/wiki/Around_the_World_in_80_Days_(1956_film),8
2016,Arrival,/wiki/Arrival_(film),8
1981,Arthur,/wiki/Arthur_(1981_film),4
1969,Arthur Rubinstein – The Love of Life,/wiki/Arthur_Rubinstein_%E2%80%93_The_Love_of_Life,1
1986,Artie Shaw: Time Is All You've Got,/wiki/Artie_Shaw:_Time_Is_All_You%27ve_Got,1
1997,As Good as It Gets,/wiki/As_Good_as_It_Gets,7
2007,Atonement,/wiki/Atonement_(2007_film),7
2009,Avatar,/wiki/Avatar_(2009_film),9
2022,Avatar: The Way of Water,/wiki/Avatar:_The_Way_of_Water,4
1960,BUtterfield 8,/wiki/BUtterfield_8,2
1995,Babe,/wiki/Babe_(film),7
2006,Babel,/wiki/Babel_(film),7
1987,Babette's Feast,/wiki/Babette%27s_Feast,1
1985,Back to the Future,/wiki/Back_to_the_Future,4
1931  /  32,Bad Girl,/wiki/Bad_Girl_(1931_film),3
1989,Balance,/wiki/Balance_(1989_film),1
2018,Bao,/wiki/Bao_(film),1
1975,Barry Lyndon,/wiki/Barry_Lyndon,7
1989,Batman,/wiki/Batman_(1989_film),1
1949,Battleground,/wiki/Battleground_(film),6
1953,Bear Country,/wiki/Bear_Country_(film),1
2015,Bear Story,/wiki/Bear_Story,1
1991,Beauty and the Beast,/wiki/Beauty_and_the_Beast_(1991_film),6
1964,Becket,/wiki/Becket_(1964_film),12
1971,Bedknobs and Broomsticks,/wiki/Bedknobs_and_Broomsticks,5
1988,Beetlejuice,/wiki/Beetlejuice,1
2011,Beginners,/wiki/Beginners,1
1979,Being There,/wiki/Being_There,2
1993,Belle Epoque,/wiki/Belle_Epoque_(film),1
1959,Ben-Hur,/wiki/Ben-Hur_(1959_film),12
1951,Benjy,/wiki/Benjy_(film),1
1979,Best Boy,/wiki/Best_Boy_(film),1
1942,Beyond the Line of Duty,/wiki/Beyond_the_Line_of_Duty,1
1949,Bicycle Thieves,/wiki/Bicycle_Thieves,1
2014,Big Hero 6,/wiki/Big_Hero_6_(film),1
2000,Big Mama,/wiki/Big_Mama_(film),1
1948,Bill and Coo,/wiki/Bill_and_Coo,0
1988,Bird,/wiki/Bird_(1988_film),1
1957,Birds Anonymous,/wiki/Birds_Anonymous,1
2018,BlacKkKlansman,/wiki/BlacKkKlansman,6
1962,Black Fox: The Rise and Fall of Adolf Hitler,/wiki/Black_Fox:_The_Rise_and_Fall_of_Adolf_Hitler,1
2001,Black Hawk Down,/wiki/Black_Hawk_Down_(film),4
1947,Black Narcissus,/wiki/Black_Narcissus,2
1959,Black Orpheus,/wiki/Black_Orpheus,1
2018,Black Panther,/wiki/Black_Panther_(film),7
2022,Black Panther: Wakanda Forever,/wiki/Black_Panther:_Wakanda_Forever,5
1993,Black Rider,/wiki/Schwarzfahrer,1
2010,Black Swan,/wiki/Black_Swan_(film),5
1976,Black and White in Color,/wiki/Black_and_White_in_Color,1
2017,Blade Runner 2049,/wiki/Blade_Runner_2049,5
1946,Blithe Spirit,/wiki/Blithe_Spirit_(1945_film),1
1941,Blood and Sand,/wiki/Blood_and_Sand_(1941_film),2
1945,Blood on the Sun,/wiki/Blood_on_the_Sun,1
1941,Blossoms in the Dust,/wiki/Blossoms_in_the_Dust,4
2013,Blue Jasmine,/wiki/Blue_Jasmine,3
1994,Blue Sky,/wiki/Blue_Sky_(1994_film),1
1979,Board and Care,/wiki/Board_and_Care,1
1994,Bob's Birthday,/wiki/Bob%27s_Birthday,1
1947,Body and Soul,/wiki/Body_and_Soul_(1947_film),3
2018,Bohemian Rhapsody,/wiki/Bohemian_Rhapsody_(film),5
2019,Bombshell,/wiki/Bombshell_(2019_film),3
1967,Bonnie and Clyde,/wiki/Bonnie_and_Clyde_(film),10
1936,Bored of Education,/wiki/Bored_of_Education,1
1966,Born Free,/wiki/Born_Free,2
1950,Born Yesterday,/wiki/Born_Yesterday_(1950_film),5
2004,Born into Brothels,/wiki/Born_into_Brothels,1
1989,Born on the Fourth of July,/wiki/Born_on_the_Fourth_of_July_(film),8
1976,Bound for Glory,/wiki/Bound_for_Glory_(1976_film),6
2002,Bowling for Columbine,/wiki/Bowling_for_Columbine,1
2014,Boyhood,/wiki/Boyhood_(2014_film),6
1999,Boys Don't Cry,/wiki/Boys_Don%27t_Cry_(1999_film),2
1938,Boys Town,/wiki/Boys_Town_(film),5
1983,Boys and Girls,/wiki/Boys_and_Girls_(1983_film),1
1992,Bram Stoker's Dracula,/wiki/Bram_Stoker%27s_Dracula_(1992_film),4
2012,Brave,/wiki/Brave_(2012_film),1
1995,Braveheart,/wiki/Braveheart,10
1961,Breakfast at Tiffany's,/wiki/Breakfast_at_Tiffany%27s_(film),5
1979,Breaking Away,/wiki/Breaking_Away,5
1952,Breaking the Sound Barrier,/wiki/The_Sound_Barrier,2
1996,Breathing Lessons: The Life and Work of Mark O'Brien,/wiki/Breathing_Lessons:_The_Life_and_Work_of_Mark_O%27Brien,1
2015,Bridge of Spies,/wiki/Bridge_of_Spies_(film),6
1935,Broadway Melody of 1936,/wiki/Broadway_Melody_of_1936,3
2005,Brokeback Mountain,/wiki/Brokeback_Mountain,8
1954,Broken Lance,/wiki/Broken_Lance,2
1985,Broken Rainbow,/wiki/Broken_Rainbow_(film),1
1991,Bugsy,/wiki/Bugsy,10
1994,Bullets Over Broadway,/wiki/Bullets_Over_Broadway,7
1968,Bullitt,/wiki/Bullitt,2
1998,Bunny,/wiki/Bunny_(1998_film),1
1994,Burnt by the Sun,/wiki/Burnt_by_the_Sun,1
1939,Busy Little Bears,/wiki/Busy_Little_Bears,1
1969,Butch Cassidy and the Sundance Kid,/wiki/Butch_Cassidy_and_the_Sundance_Kid,7
1972,Butterflies Are Free,/wiki/Butterflies_Are_Free,3
2021,CODA,/wiki/CODA_(2021_film),3
1972,Cabaret,/wiki/Cabaret_(1972_film),10
1969,Cactus Flower,/wiki/Cactus_Flower_(film),1
1953,Calamity Jane,/wiki/Calamity_Jane_(film),3
1978,California Suite,/wiki/California_Suite_(film),3
1953,Call Me Madam,/wiki/Call_Me_Madam_(film),2
2017,Call Me by Your Name,/wiki/Call_Me_by_Your_Name_(film),4
1967,Camelot,/wiki/Camelot_(film),5
2005,Capote,/wiki/Capote_(film),5
1950,"Captain Carey, U.S.A.","/wiki/Captain_Carey,_U.S.A.",1
1937,Captains Courageous,/wiki/Captains_Courageous_(1937_film),4
1943,Casablanca,/wiki/Casablanca_(film),8
1964,Casals Conducts: 1964,/wiki/Casals_Conducts:_1964,1
1965,Cat Ballou,/wiki/Cat_Ballou,5
1932  /  33,Cavalcade,/wiki/Cavalcade_(1933_film),4
1963,Chagall,/wiki/Chagall_(film),1
1949,Champion,/wiki/Champion_(1949_film),6
1997,Character,/wiki/Character_(film),1
1984,Charade,/wiki/Charade_(1984_film),1
1981,Chariots of Fire,/wiki/Chariots_of_Fire,7
1968,Charly,/wiki/Charly,1
2003,Chernobyl Heart,/wiki/Chernobyl_Heart,1
2002,Chicago,/wiki/Chicago_(2002_film),13
1986,Children of a Lesser God,/wiki/Children_of_a_Lesser_God_(film),5
1974,Chinatown,/wiki/Chinatown_(1974_film),11
1941,Churchill's Island,/wiki/Churchill%27s_Island,1
1930  /  31,Cimarron,/wiki/Cimarron_(1931_film),7
1989,Cinema Paradiso,/wiki/Cinema_Paradiso,1
1941,Citizen Kane,/wiki/Citizen_Kane,9
2014,Citizenfour,/wiki/Citizenfour,1
1991,City Slickers,/wiki/City_Slickers,1
1934,City of Wax,/wiki/City_of_Wax,1
1963,Cleopatra,/wiki/Cleopatra_(1963_film),9
1947,Climbing the Matterhorn,/wiki/Climbing_the_Matterhorn,1
1977,Close Encounters of the Third Kind,/wiki/Close_Encounters_of_the_Third_Kind,8
1981,Close Harmony,/wiki/Close_Harmony_(1981_film),1
1974,Closed Mondays,/wiki/Closed_Mondays,1
1967,Closely Watched Trains,/wiki/Closely_Watched_Trains,1
1980,Coal Miner's Daughter,/wiki/Coal_Miner%27s_Daughter_(film),7
2017,Coco,/wiki/Coco_(2017_film),2
1985,Cocoon,/wiki/Cocoon_(film),2
2003,Cold Mountain,/wiki/Cold_Mountain_(film),7
2020  /  21,Colette,/wiki/Colette_(2020_film),1
1952,"Come Back, Little Sheba","/wiki/Come_Back,_Little_Sheba_(1952_film)",3
1936,Come and Get It,/wiki/Come_and_Get_It_(1936_film),2
1978,Coming Home,/wiki/Coming_Home_(1978_film),8
1989,Common Threads: Stories from the Quilt,/wiki/Common_Threads:_Stories_from_the_Quilt,1
1967,Cool Hand Luke,/wiki/Cool_Hand_Luke,4
1928  /  29,Coquette,/wiki/Coquette_(film),1
1944,Cover Girl,/wiki/Cover_Girl_(film),5
1981,Crac,/wiki/Crac,1
2005,Crash,/wiki/Crash_(2004_film),6
1943,Crash Dive,/wiki/Crash_Dive,1
1956,Crashing the Water Barrier,/wiki/Crashing_the_Water_Barrier,1
2009,Crazy Heart,/wiki/Crazy_Heart,3
1990,Creature Comforts,/wiki/Creature_Comforts,1
1973,Cries and Whispers,/wiki/Cries_and_Whispers,5
2014,Crisis Hotline: Veterans Press 1,/wiki/Crisis_Hotline:_Veterans_Press_1,1
1970,Cromwell,/wiki/Cromwell_(film),2
2000,"Crouching Tiger, Hidden Dragon","/wiki/Crouching_Tiger,_Hidden_Dragon",10
2021,Cruella,/wiki/Cruella_(film),2
2012,Curfew,/wiki/Curfew_(2012_film),1
1990,Cyrano de Bergerac,/wiki/Cyrano_de_Bergerac_(1990_film),5
1969,Czechoslovakia 1968,/wiki/Czechoslovakia_1968,1
2013,Dallas Buyers Club,/wiki/Dallas_Buyers_Club,6
1990,Dances with Wolves,/wiki/Dances_with_Wolves,12
1935,Dangerous,/wiki/Dangerous_(1935_film),1
1988,Dangerous Liaisons,/wiki/Dangerous_Liaisons,7
1984,Dangerous Moves,/wiki/Dangerous_Moves,1
2017,Darkest Hour,/wiki/Darkest_Hour_(film),6
1965,Darling,/wiki/Darling_(1965_film),5
1973,Day for Night,/wiki/Day_for_Night_(film),4
1960,Day of the Painter,/wiki/Day_of_the_Painter,1
1949,Daybreak in Udi,/wiki/Daybreak_in_Udi,1
1978,Days of Heaven,/wiki/Days_of_Heaven,4
1990,Days of Waiting,/wiki/Days_of_Waiting:_The_Life_%26_Art_of_Estelle_Ishigo,1
1962,Days of Wine and Roses,/wiki/Days_of_Wine_and_Roses_(film),5
1995,Dead Man Walking,/wiki/Dead_Man_Walking_(film),4
1989,Dead Poets Society,/wiki/Dead_Poets_Society,4
1991,"Deadly Deception: General Electric, Nuclear Weapons and Our Environment","/wiki/Deadly_Deception:_General_Electric,_Nuclear_Weapons_and_Our_Environment",1
2017,Dear Basketball,/wiki/Dear_Basketball,1
1996,Dear Diary,/wiki/Dear_Diary_(1996_film),1
1992,Death Becomes Her,/wiki/Death_Becomes_Her,1
