,year,film,wiki,winner,rating,numVotes,worldwide_box_office,action,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,film-noir,history,horror,music,musical,mystery,romance,sci-fi,sport,thriller,war,western,nominations,Oscar_win,nom_gg_drama,winner_gg_drama,nom_gg_comedy,winner_gg_comedy,nom_pga,winner_pga,nom_bafta,winner_bafta,nom_dga,winner_dga,nom_sag,winner_sag
47,1935,The Lives of a Bengal Lancer ,/wiki/The_Lives_of_a_Bengal_Lancer_(film),False,7.0,3109.0,135168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1935,A Midsummer Night's Dream ,/wiki/A_Midsummer_Night%27s_Dream_(1935_film),False,6.4,26194.0,24711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1935,Les Misérables ,/wiki/Les_Mis%C3%A9rables_(1935_film),False,7.5,336046.0,54465930,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0,0,0,0,1,1,0,0,0,0,0,0,0,0
50,2012,Les Misérables ,/wiki/Les_Mis%C3%A9rables_(2012_film),False,7.5,336046.0,54465930,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0,0,0,0,1,1,0,0,0,0,0,0,0,0
51,1935,Top Hat,/wiki/Top_Hat,False,7.7,19894.0,5541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1936,The Great Ziegfeld,/wiki/The_Great_Ziegfeld,True,6.6,8565.0,353659851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0
54,1936,Mr. Deeds Goes to Town,/wiki/Mr._Deeds_Goes_to_Town,False,7.8,22250.0,8362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1936,Romeo and Juliet ,/wiki/Romeo_and_Juliet_(1936_film),False,7.6,33417.0,6292,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1968,Romeo and Juliet ,/wiki/Romeo_and_Juliet_(1968_film),False,7.6,33417.0,6292,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,1936,San Francisco ,/wiki/San_Francisco_(1936_film),False,7.3,6371.0,18823,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0
