,film,genres
137,It's a Wonderful Life,"Action,Adventure,Animation"
138,The Best Years of Our Lives,"Drama,Romance,War"
139,The Yearling ,"drama,family,western"
140,Henry V ,"biography,drama,history,war"
141,The Razor's Edge ,"drama,romance,war"
142,Miracle on 34th Street,"Comedy,Fantasy,Sci-Fi"
143,The Bishop's Wife,"Comedy,Drama,Fantasy"
144,Great Expectations ,"drama,romance"
145,Crossfire ,"action,crime,drama"
146,Gentleman's Agreement,"Documentary,History"
147,The Treasure of the Sierra Madre ,"adventure,drama,western"
148,The Snake Pit,"Adventure,Drama,Family"
149,The Red Shoes ,"drama,music,romance"
150,Johnny Belinda ,drama
151,Hamlet ,drama
152,Twelve O'Clock High,"Drama,War"
153,Battleground ,documentary
154,All the King's Men ,"drama,thriller"
155,A Letter to Three Wives,"Comedy,Drama,Romance"
156,The Heiress,"Adventure,Crime,Mystery"
157,Sunset Boulevard ,"drama,film-noir"
158,King Solomon's Mines ,"action,adventure,comedy,romance"
159,Father of the Bride ,"comedy,family,romance"
160,Born Yesterday ,"comedy,romance"
161,All About Eve,"Drama,Family,Sci-Fi"
162,Decision Before Dawn,"Drama,War"
163,Quo Vadis ,"biography,drama,romance"
164,A Streetcar Named Desire ,drama
165,An American in Paris ,"drama,musical,romance"
166,A Place in the Sun ,"drama,romance"
167,Ivanhoe ,"comedy,drama"
168,Moulin Rouge ,"drama,musical,romance"
169,High Noon,"Action,Crime,Drama"
170,The Quiet Man,"Action,Crime,Drama"
171,The Greatest Show on Earth ,"drama,family,romance"
172,Julius Caesar ,"drama,history"
173,Shane ,"biography,documentary,music"
174,From Here to Eternity,"Drama,Romance,War"
175,The Robe ,"drama,history,romance"
176,Roman Holiday,"Comedy,Drama,Romance"
177,Seven Brides for Seven Brothers,"Comedy,Drama,Musical"
178,On the Waterfront,"Crime,Drama,Thriller"
179,The Caine Mutiny ,"drama,war"
180,The Country Girl ,"comedy,drama,romance"
181,Three Coins in the Fountain ,"action,adventure,drama"
182,Marty ,"drama,romance"
183,The Rose Tattoo ,"drama,music,romance"
184,Love Is a Many-Splendored Thing ,"biography,drama,romance,war"
185,Mister Roberts ,"comedy,drama,war"
186,Picnic ,"adventure,drama,thriller"
187,The King and I ,"biography,drama,musical,romance"
188,The Ten Commandments ,"adventure,drama,family,history"
189,Around the World in 80 Days ,"action,adventure,comedy,family,western"
190,Giant ,"drama,western"
191,12 Angry Men ,"crime,drama"
192,Sayonara,"Comedy,Drama,Family"
193,The Bridge on the River Kwai,"Adventure,Drama,War"
194,Witness for the Prosecution ,"crime,drama,mystery,thriller"
195,The Defiant Ones,"Action,Adventure,Comedy"
196,Gigi ,"comedy,musical,romance"
197,Auntie Mame ,"comedy,drama,romance"
198,Cat on a Hot Tin Roof ,drama
199,Separate Tables ,"drama,romance"
200,Ben-Hur ,"adventure,drama"
201,The Diary of Anne Frank ,drama
202,The Nun's Story ,"horror,mystery,thriller"
203,Anatomy of a Murder,"Comedy,Crime,Drama"
204,Elmer Gantry ,drama
205,Sons and Lovers ,"action,adventure,comedy,thriller"
206,The Alamo ,"adventure,drama,history,war,western"
207,The Sundowners ,drama
208,The Apartment,"Comedy,Documentary,Short"
209,The Hustler,"Comedy,Drama,Family"
210,Judgment at Nuremberg,"Comedy,Crime,Drama"
211,West Side Story ,"crime,drama,musical,romance"
212,Fanny ,drama
213,The Guns of Navarone ,"action,adventure,drama,war"
214,The Music Man ,"comedy,family,musical,romance"
215,Mutiny on the Bounty ,"adventure,drama,history,romance"
216,To Kill a Mockingbird ,"crime,drama"
217,Lawrence of Arabia ,"adventure,biography,drama,war"
218,The Longest Day ,"action,drama,history,war"
219,America America,"Action,Crime,Drama"
220,Cleopatra ,"biography,drama,history,romance"
221,How the West Was Won ,western
222,Lilies of the Field ,"comedy,drama"
223,Zorba the Greek ,"comedy,drama"
224,Mary Poppins ,"comedy,family,fantasy,musical"
225,My Fair Lady ,"drama,family,musical,romance"
226,Dr. Strangelove,"Comedy,Crime,Drama"
227,Becket ,"biography,drama,history"
228,A Thousand Clowns,"Comedy,Drama,Romance"
229,Doctor Zhivago ,"drama,romance,war"
230,The Sound of Music ,"biography,drama,family,musical,romance"
231,Darling ,"drama,thriller"
232,Ship of Fools ,comedy
233,The Sand Pebbles ,"adventure,drama,romance,war"
234,"The Russians Are Coming, the Russians Are Coming","comedy,crime"
235,Alfie ,"comedy,drama,romance"
236,Who's Afraid of Virginia Woolf? ,drama
237,A Man for All Seasons ,"biography,drama,history"
238,Doctor Dolittle ,"comedy,family,fantasy"
239,Guess Who's Coming to Dinner,"Adventure,Drama,Romance"
240,The Graduate,"Comedy,Drama,Romance"
241,In the Heat of the Night ,"drama,mystery,thriller"
242,Bonnie and Clyde ,"action,biography,crime,drama"
243,Romeo and Juliet ,"drama,romance"
244,The Lion in Winter ,"biography,drama,history"
245,Oliver! ,"drama,family,musical"
246,Funny Girl ,"biography,comedy,drama,musical,romance"
247,"Rachel, Rachel","Drama,Romance"
248,Anne of the Thousand Days,"Biography,Drama,History"
249,Butch Cassidy and the Sundance Kid,"Biography,Crime,Drama"
250,"Hello, Dolly! ","adventure,comedy,musical,romance"
251,Z ,"comedy,drama"
252,Midnight Cowboy,"Comedy,Family"
253,Five Easy Pieces,"Crime,Drama,Mystery"
254,Patton ,"biography,drama,war"
255,Airport ,"action,drama,thriller"
256,Love Story ,"drama,romance"
257,M*A*S*H ,"comedy,drama,war"
258,Fiddler on the Roof ,"drama,family,musical,romance"
259,A Clockwork Orange ,"crime,sci-fi"
260,Nicholas and Alexandra,"Biography,Documentary,Short"
261,The French Connection ,"action,crime,drama,thriller"
262,The Last Picture Show,"Horror,Short"
263,The Godfather,"Crime,Drama,Mystery"
264,Cabaret ,"drama,music,musical,romance"
265,The Emigrants ,"drama,history"
266,Sounder ,"action,comedy,crime"
267,Deliverance,"Action,Crime,Drama"
268,The Exorcist,"Drama,Horror,Mystery"
269,Cries and Whispers,"Comedy,Drama,Mystery"
270,American Graffiti,"Biography,Documentary"
271,The Sting,"Comedy,Crime,Drama"
272,A Touch of Class ,"comedy,romance"
273,Lenny ,"biography,drama"
274,The Towering Inferno,"Action,Drama,Thriller"
275,The Godfather Part II,"Crime,Drama"
276,Chinatown ,"drama,mystery,thriller"
277,The Conversation,"Drama,Horror,Short"
278,One Flew Over the Cuckoo's Nest ,drama
279,Jaws ,"adventure,mystery,thriller"
280,Nashville ,"comedy,drama,music"
281,Dog Day Afternoon,"Adventure,Animation,Comedy"
282,Barry Lyndon,"Adventure,Drama,War"
283,Rocky,"Comedy,Family,Fantasy"
284,Bound for Glory ,"drama,history,war,western"
285,Network ,drama
286,All the President's Men ,"drama,history,thriller"
287,Taxi Driver,"Drama,Fantasy,Horror"
288,Julia ,drama
289,Star Wars ,"action,adventure,fantasy,sci-fi"
290,The Turning Point ,"drama,music,romance"
291,Annie Hall,"Documentary,Short"
292,The Goodbye Girl,"Comedy,Drama,Romance"
293,An Unmarried Woman,"Comedy,Drama,Romance"
294,Midnight Express ,"biography,crime,drama,thriller"
295,Coming Home ,"drama,romance,war"
296,Heaven Can Wait ,"comedy,fantasy,romance,sport"
297,The Deer Hunter,"Comedy,Drama,Horror"
298,All That Jazz ,"drama,music,musical"
299,Norma Rae,"Action,Crime,Drama"
300,Kramer vs. Kramer,"Crime,Drama,Reality-TV"
301,Apocalypse Now,"Drama,Mystery,War"
302,Breaking Away,"Crime,Documentary,Mystery"
303,Ordinary People,"Adventure,Comedy,Drama"
304,Coal Miner's Daughter ,"biography,drama,music"
305,Raging Bull,"Biography,Drama,Sport"
306,The Elephant Man ,"biography,drama"
307,Tess ,"drama,romance"
308,Atlantic City ,"crime,drama,romance"
309,On Golden Pond ,drama
310,Reds ,"biography,drama,history,romance"
311,Chariots of Fire,"Biography,Drama,Sport"
312,Raiders of the Lost Ark,"Animation,Comedy,Short"
313,The Verdict,"Drama,Romance,Short"
314,E.T. the Extra-Terrestrial,"Adventure,Family,Sci-Fi"
315,Tootsie,"Comedy,Drama,Romance"
316,Gandhi ,"biography,drama,history"
317,Missing ,"drama,mystery,thriller"
318,The Dresser ,drama
319,Tender Mercies,"Crime,Drama"
320,The Right Stuff ,"adventure,biography,drama,history"
321,Terms of Endearment,"Comedy,Drama,Mystery"
322,The Big Chill ,"comedy,drama"
323,Places in the Heart,Drama
324,Amadeus ,"biography,drama,music"
325,The Killing Fields ,"biography,drama,history,war"
326,A Passage to India ,"adventure,drama,history"
327,A Soldier's Story,"Crime,Drama,Mystery"
328,Witness ,"drama,romance,thriller"
329,Kiss of the Spider Woman ,drama
330,Out of Africa ,"biography,drama,romance"
331,The Color Purple ,"drama,musical"
332,Prizzi's Honor,"Comedy,Crime,Drama"
333,A Room with a View ,"drama,romance"
334,The Mission ,"adventure,drama,history"
335,Platoon ,"drama,war"
336,Hannah and Her Sisters,"Comedy,Drama"
337,Children of a Lesser God ,"drama,romance"
338,Broadcast News ,"comedy,drama,romance"
339,The Last Emperor,"Biography,Drama,History"
340,Moonstruck,"Crime,Drama,Horror"
341,Hope and Glory ,"comedy,drama,romance"
342,Fatal Attraction,"Comedy,Drama,Family"
343,The Accidental Tourist ,"drama,romance"
344,Rain Man,"Comedy,Talk-Show"
345,Mississippi Burning,"Crime,Drama,Mystery"
346,Working Girl,"Documentary,Drama,Short"
347,Dangerous Liaisons,"Drama,History,Mystery"
348,My Left Foot,"Action,Comedy,Drama"
