,year,film,wiki,winner,worldwide_box_office
333,1989,Field of Dreams,/wiki/Field_of_Dreams,False,"$84,431,625"
334,1989,Born on the Fourth of July ,/wiki/Born_on_the_Fourth_of_July_(film),False,"$161,001,698"
335,1989,Dead Poets Society,/wiki/Dead_Poets_Society,False,"$235,860,116"
336,1989,Driving Miss Daisy,/wiki/Driving_Miss_Daisy,True,"$145,793,296"
337,1989,My Left Foot,/wiki/My_Left_Foot,False,"$14,743,391"
338,1990,Ghost ,/wiki/Ghost_(1990_film),False,"$505,703,557"
339,1990,Awakenings,/wiki/Awakenings,False,"$52,096,475"
340,1990,Goodfellas,/wiki/Goodfellas,False,"$47,036,784"
341,1990,Dances with Wolves,/wiki/Dances_with_Wolves,True,"$424,208,848"
342,1990,The Godfather Part III,/wiki/The_Godfather_Part_III,False,"$136,861,392"
343,1991,Beauty and the Beast ,/wiki/Beauty_and_the_Beast_(1991_film),False,"$1,266,115,964"
344,1991,The Silence of the Lambs ,/wiki/The_Silence_of_the_Lambs_(film),True,"$272,742,922"
345,1991,Bugsy,/wiki/Bugsy,False,"$49,114,016"
346,1991,JFK ,/wiki/JFK_(film),False,"$205,405,498"
347,1991,The Prince of Tides,/wiki/The_Prince_of_Tides,False,"$74,787,599"
348,1992,Scent of a Woman ,/wiki/Scent_of_a_Woman_(1992_film),False,"$134,095,253"
349,1992,A Few Good Men,/wiki/A_Few_Good_Men,False,"$243,240,178"
350,1992,Unforgiven,/wiki/Unforgiven,True,"$159,167,799"
351,1992,The Crying Game,/wiki/The_Crying_Game,False,"$62,548,947"
352,1992,Howards End ,/wiki/Howards_End_(film),False,"$26,341,736"
353,1993,The Piano,/wiki/The_Piano,False,"$40,185,556"
354,1993,The Remains of the Day ,/wiki/The_Remains_of_the_Day_(film),False,"$23,237,911"
355,1993,In the Name of the Father ,/wiki/In_the_Name_of_the_Father_(film),False,"$65,796,862"
356,1993,The Fugitive ,/wiki/The_Fugitive_(1993_film),False,"$368,875,760"
357,1993,Schindler's List,/wiki/Schindler%27s_List,True,"$322,161,245"
358,1994,The Shawshank Redemption,/wiki/The_Shawshank_Redemption,False,"$28,884,504"
359,1994,Forrest Gump,/wiki/Forrest_Gump,True,"$678,226,465"
360,1994,Four Weddings and a Funeral,/wiki/Four_Weddings_and_a_Funeral,False,"$245,700,832"
361,1994,Pulp Fiction,/wiki/Pulp_Fiction,False,"$213,928,762"
362,1994,Quiz Show ,/wiki/Quiz_Show_(film),False,"$24,822,619"
363,1995,Il Postino: The Postman,/wiki/Il_Postino:_The_Postman,False,"$21,898,920"
364,1995,Braveheart,/wiki/Braveheart,True,"$213,216,216"
365,1995,Apollo 13 ,/wiki/Apollo_13_(film),False,"$355,237,933"
366,1995,Babe ,/wiki/Babe_(film),False,"$254,134,910"
367,1995,Sense and Sensibility ,/wiki/Sense_and_Sensibility_(film),False,"$134,582,776"
368,1996,Fargo ,/wiki/Fargo_(1996_film),False,"$60,611,975"
369,1996,Jerry Maguire,/wiki/Jerry_Maguire,False,"$273,552,592"
370,1996,The English Patient ,/wiki/The_English_Patient_(film),True,"$231,976,425"
371,1996,Shine ,/wiki/Shine_(film),False,"$35,999,081"
372,1996,Secrets & Lies ,/wiki/Secrets_%26_Lies_(film),False,"$13,417,292"
373,1997,L.A. Confidential ,/wiki/L.A._Confidential_(film),False,"$126,216,940"
374,1997,Good Will Hunting,/wiki/Good_Will_Hunting,False,"$225,933,435"
375,1997,As Good as It Gets,/wiki/As_Good_as_It_Gets,False,"$314,178,011"
376,1997,The Full Monty,/wiki/The_Full_Monty,False,"$257,938,649"
377,1997,Titanic ,/wiki/Titanic_(1997_film),True,"$2,264,743,257"
378,1998,The Thin Red Line ,/wiki/The_Thin_Red_Line_(1998_film),False,"$98,126,565"
379,1998,Life Is Beautiful,/wiki/Life_Is_Beautiful,False,"$230,099,013"
380,1998,Elizabeth ,/wiki/Elizabeth_(film),False,"$82,150,642"
381,1998,Shakespeare in Love,/wiki/Shakespeare_in_Love,True,"$289,317,794"
382,1998,Saving Private Ryan,/wiki/Saving_Private_Ryan,False,"$482,349,603"
383,1999,The Green Mile ,/wiki/The_Green_Mile_(film),False,"$286,801,374"
384,1999,The Insider ,/wiki/The_Insider_(film),False,"$60,289,912"
385,1999,American Beauty ,/wiki/American_Beauty_(1999_film),True,"$356,296,601"
386,1999,The Sixth Sense,/wiki/The_Sixth_Sense,False,"$672,806,432"
387,1999,The Cider House Rules ,/wiki/The_Cider_House_Rules_(film),False,"$88,545,092"
388,2000,Chocolat ,/wiki/Chocolat_(2000_film),False,"$152,700,626"
389,2000,Traffic ,/wiki/Traffic_(2000_film),False,"$207,515,725"
390,2000,Erin Brockovich ,/wiki/Erin_Brockovich_(film),False,"$256,271,286"
391,2000,"Crouching Tiger, Hidden Dragon","/wiki/Crouching_Tiger,_Hidden_Dragon",False,"$213,977,285"
392,2000,Gladiator ,/wiki/Gladiator_(2000_film),True,"$503,162,313"
393,2001,Moulin Rouge!,/wiki/Moulin_Rouge!,False,"$184,935,320"
394,2001,The Lord of the Rings: The Fellowship of the Ring,/wiki/The_Lord_of_the_Rings:_The_Fellowship_of_the_Ring,False,"$898,204,420"
395,2001,In the Bedroom,/wiki/In_the_Bedroom,False,"$44,763,181"
396,2001,Gosford Park,/wiki/Gosford_Park,False,"$87,754,044"
397,2001,A Beautiful Mind ,/wiki/A_Beautiful_Mind_(film),True,"$316,791,257"
398,2002,The Pianist ,/wiki/The_Pianist_(2002_film),False,"$120,072,577"
399,2002,The Lord of the Rings: The Two Towers,/wiki/The_Lord_of_the_Rings:_The_Two_Towers,False,"$947,944,270"
400,2002,Gangs of New York,/wiki/Gangs_of_New_York,False,"$193,772,504"
401,2002,Chicago ,/wiki/Chicago_(2002_film),True,"$306,776,732"
402,2002,The Hours ,/wiki/The_Hours_(film),False,"$108,846,072"
403,2003,The Lord of the Rings: The Return of the King,/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,True,"$1,147,633,833"
404,2003,Lost in Translation ,/wiki/Lost_in_Translation_(film),False,"$118,686,937"
405,2003,Master and Commander: The Far Side of the World,/wiki/Master_and_Commander:_The_Far_Side_of_the_World,False,"$211,622,535"
406,2003,Mystic River ,/wiki/Mystic_River_(film),False,"$156,595,191"
407,2003,Seabiscuit ,/wiki/Seabiscuit_(film),False,"$148,336,445"
408,2004,Ray ,/wiki/Ray_(film),False,"$123,971,376"
409,2004,Sideways,/wiki/Sideways,False,"$109,706,931"
410,2004,Finding Neverland ,/wiki/Finding_Neverland_(film),False,"$116,650,613"
411,2004,The Aviator ,/wiki/The_Aviator_(2004_film),False,"$213,719,942"
412,2004,Million Dollar Baby,/wiki/Million_Dollar_Baby,True,"$216,763,646"
413,2005,"Good Night, and Good Luck","/wiki/Good_Night,_and_Good_Luck",False,"$54,641,191"
414,2005,Capote ,/wiki/Capote_(film),False,"$49,327,405"
415,2005,Brokeback Mountain,/wiki/Brokeback_Mountain,False,"$178,062,759"
416,2005,Crash ,/wiki/Crash_(2004_film),True,"$2,671,855"
417,2005,Munich ,/wiki/Munich_(2005_film),False,"$130,982,129"
418,2006,Babel ,/wiki/Babel_(film),False,"$135,330,182"
419,2006,Little Miss Sunshine,/wiki/Little_Miss_Sunshine,False,"$101,058,954"
420,2006,The Departed,/wiki/The_Departed,True,"$291,480,452"
421,2006,The Queen ,/wiki/The_Queen_(2006_film),False,"$124,923,153"
422,2006,Letters from Iwo Jima,/wiki/Letters_from_Iwo_Jima,False,"$68,673,228"
423,2007,Michael Clayton ,/wiki/Michael_Clayton_(film),False,"$92,991,835"
424,2007,No Country for Old Men,/wiki/No_Country_for_Old_Men,True,"$171,627,434"
425,2007,Atonement ,/wiki/Atonement_(2007_film),False,"$131,016,624"
426,2007,Juno ,/wiki/Juno_(film),False,"$232,372,681"
427,2007,There Will Be Blood,/wiki/There_Will_Be_Blood,False,"$76,182,388"
428,2008,Slumdog Millionaire,/wiki/Slumdog_Millionaire,True,"$378,410,542"
429,2008,The Reader ,/wiki/The_Reader_(2008_film),False,"$108,902,486"
430,2008,Milk ,/wiki/Milk_(2008_American_film),False,"$54,589,558"
431,2008,Frost/Nixon ,/wiki/Frost/Nixon_(film),False,"$27,426,335"
432,2008,The Curious Case of Benjamin Button ,/wiki/The_Curious_Case_of_Benjamin_Button_(film),False,"$335,802,786"
433,2009,Up ,/wiki/Up_(2009_film),False,"$735,099,102"
434,2009,Inglourious Basterds,/wiki/Inglourious_Basterds,False,"$321,457,747"
435,2009,An Education,/wiki/An_Education,False,"$26,096,852"
436,2009,District 9,/wiki/District_9,False,"$210,888,950"
437,2009,The Blind Side ,/wiki/The_Blind_Side_(film),False,"$309,231,694"
438,2009,Avatar ,/wiki/Avatar_(2009_film),False,"$2,923,706,026"
439,2009,The Hurt Locker,/wiki/The_Hurt_Locker,True,"$49,259,766"
440,2009,Precious ,/wiki/Precious_(film),False,"$63,649,529"
441,2009,Up in the Air ,/wiki/Up_in_the_Air_(2009_film),False,"$166,842,739"
442,2009,A Serious Man,/wiki/A_Serious_Man,False,"$31,430,334"
443,2010,Winter's Bone,/wiki/Winter%27s_Bone,False,"$13,796,834"
444,2010,True Grit ,/wiki/True_Grit_(2010_film),False,"$252,276,927"
445,2010,The Social Network,/wiki/The_Social_Network,False,"$224,920,375"
446,2010,127 Hours,/wiki/127_Hours,False,"$60,738,797"
447,2010,The Kids Are All Right ,/wiki/The_Kids_Are_All_Right_(film),False,"$34,758,951"
448,2010,The Fighter,/wiki/The_Fighter,False,"$129,190,869"
449,2010,Black Swan ,/wiki/Black_Swan_(film),False,"$329,398,046"
450,2010,The King's Speech,/wiki/The_King%27s_Speech,True,"$484,068,861"
451,2010,Inception,/wiki/Inception,False,"$870,110,523"
452,2010,Toy Story 3,/wiki/Toy_Story_3,False,"$1,067,316,101"
453,2011,Hugo ,/wiki/Hugo_(film),False,"$185,770,310"
454,2011,War Horse ,/wiki/War_Horse_(film),False,"$177,584,879"
455,2011,The Artist ,/wiki/The_Artist_(film),True,"$133,471,171"
456,2011,The Descendants,/wiki/The_Descendants,False,"$177,243,185"
457,2011,Extremely Loud & Incredibly Close ,/wiki/Extremely_Loud_%26_Incredibly_Close_(film),False,"$55,247,881"
458,2011,The Help ,/wiki/The_Help_(film),False,"$216,639,112"
459,2011,Midnight in Paris,/wiki/Midnight_in_Paris,False,"$151,672,318"
460,2011,Moneyball ,/wiki/Moneyball_(film),False,"$110,206,216"
461,2011,The Tree of Life ,/wiki/The_Tree_of_Life_(film),False,"$58,409,247"
462,2012,Django Unchained,/wiki/Django_Unchained,False,"$426,074,373"
463,2012,Lincoln ,/wiki/Lincoln_(film),False,"$275,293,450"
464,2012,Life of Pi ,/wiki/Life_of_Pi_(film),False,"$609,016,565"
465,2012,Zero Dark Thirty,/wiki/Zero_Dark_Thirty,False,"$132,820,716"
466,2012,Amour ,/wiki/Amour_(2012_film),False,"$29,664,140"
467,2012,Argo ,/wiki/Argo_(2012_film),True,"$232,325,503"
468,2012,Les Misérables ,/wiki/Les_Mis%C3%A9rables_(2012_film),False,"$54,465,930"
469,2012,Beasts of the Southern Wild,/wiki/Beasts_of_the_Southern_Wild,False,"$21,107,746"
470,2012,Silver Linings Playbook,/wiki/Silver_Linings_Playbook,False,"$236,412,453"
471,2013,Gravity ,/wiki/Gravity_(2013_film),False,"$748,049,949"
472,2013,12 Years a Slave ,/wiki/12_Years_a_Slave_(film),True,"$187,733,202"
473,2013,American Hustle,/wiki/American_Hustle,False,"$251,171,807"
474,2013,The Wolf of Wall Street ,/wiki/The_Wolf_of_Wall_Street_(2013_film),False,"$406,878,233"
475,2013,Philomena ,/wiki/Philomena_(film),False,"$100,129,872"
476,2013,Nebraska ,/wiki/Nebraska_(film),False,"$27,682,872"
477,2013,Captain Phillips ,/wiki/Captain_Phillips_(film),False,"$218,791,811"
478,2013,Dallas Buyers Club,/wiki/Dallas_Buyers_Club,False,"$55,198,285"
479,2013,Her ,/wiki/Her_(film),False,"$48,517,427"
480,2014,American Sniper,/wiki/American_Sniper,False,"$547,459,020"
481,2014,Whiplash ,/wiki/Whiplash_(2014_film),False,"$49,396,747"
482,2014,The Theory of Everything ,/wiki/The_Theory_of_Everything_(2014_film),False,"$123,726,688"
483,2014,Selma ,/wiki/Selma_(film),False,"$67,782,762"
484,2014,The Imitation Game,/wiki/The_Imitation_Game,False,"$233,555,708"
485,2014,The Grand Budapest Hotel,/wiki/The_Grand_Budapest_Hotel,False,"$173,082,189"
486,2014,Boyhood ,/wiki/Boyhood_(2014_film),False,"$48,137,666"
487,2014,Birdman ,/wiki/Birdman_(film),True,"$103,215,094"
488,2015,Mad Max: Fury Road,/wiki/Mad_Max:_Fury_Road,False,"$415,261,382"
489,2015,Spotlight ,/wiki/Spotlight_(film),True,"$98,690,254"
490,2015,The Big Short ,/wiki/The_Big_Short_(film),False,"$133,440,870"
491,2015,Bridge of Spies ,/wiki/Bridge_of_Spies_(film),False,"$165,478,348"
492,2015,Brooklyn ,/wiki/Brooklyn_(film),False,"$62,402,155"
493,2015,The Martian ,/wiki/The_Martian_(film),False,"$630,620,818"
494,2015,The Revenant ,/wiki/The_Revenant_(2015_film),False,"$532,950,503"
495,2015,Room ,/wiki/Room_(2015_film),False,"$35,401,758"
496,2016,La La Land,/wiki/La_La_Land,False,"$471,983,281"
497,2016,Manchester by the Sea ,/wiki/Manchester_by_the_Sea_(film),False,"$78,988,148"
498,2016,Lion ,/wiki/Lion_(2016_film),False,"$140,853,810"
499,2016,Hidden Figures,/wiki/Hidden_Figures,False,"$235,956,898"
500,2016,Hell or High Water ,/wiki/Hell_or_High_Water_(2016_film),False,"$37,999,675"
501,2016,Hacksaw Ridge,/wiki/Hacksaw_Ridge,False,"$180,563,636"
502,2016,Fences ,/wiki/Fences_(film),False,"$64,414,761"
503,2016,Arrival ,/wiki/Arrival_(film),False,"$203,388,186"
504,2016,Moonlight ,/wiki/Moonlight_(2016_film),True,"$65,172,611"
505,2017,The Shape of Water,/wiki/The_Shape_of_Water,True,"$195,333,312"
506,2017,Call Me by Your Name ,/wiki/Call_Me_by_Your_Name_(film),False,"$43,143,046"
507,2017,Darkest Hour ,/wiki/Darkest_Hour_(film),False,"$150,847,274"
508,2017,Dunkirk ,/wiki/Dunkirk_(2017_film),False,"$527,016,307"
509,2017,Get Out,/wiki/Get_Out,False,"$255,745,157"
510,2017,Lady Bird ,/wiki/Lady_Bird_(film),False,"$78,986,478"
511,2017,Phantom Thread,/wiki/Phantom_Thread,False,"$48,706,552"
512,2017,The Post ,/wiki/The_Post_(film),False,"$193,764,664"
513,2017,"Three Billboards Outside Ebbing, Missouri","/wiki/Three_Billboards_Outside_Ebbing,_Missouri",False,"$162,861,289"
514,2018,Vice ,/wiki/Vice_(2018_film),False,"$76,073,488"
515,2018,Green Book ,/wiki/Green_Book_(film),True,"$321,752,656"
516,2018,Black Panther ,/wiki/Black_Panther_(film),False,"$1,349,926,083"
517,2018,BlacKkKlansman,/wiki/BlacKkKlansman,False,"$93,413,709"
518,2018,Bohemian Rhapsody ,/wiki/Bohemian_Rhapsody_(film),False,"$910,809,311"
519,2018,The Favourite,/wiki/The_Favourite,False,"$95,918,706"
520,2018,Roma ,/wiki/Roma_(2018_film),False,"$1,140,769"
521,2018,A Star Is Born ,/wiki/A_Star_Is_Born_(2018_film),False,"$436,233,122"
522,2019,Marriage Story,/wiki/Marriage_Story,False,"$333,686"
523,2019,Little Women ,/wiki/Little_Women_(2019_film),False,"$218,843,645"
524,2019,Joker ,/wiki/Joker_(2019_film),False,"$1,074,458,282"
525,2019,Jojo Rabbit,/wiki/Jojo_Rabbit,False,"$93,757,609"
526,2019,Ford v Ferrari,/wiki/Ford_v_Ferrari,False,"$225,508,210"
527,2019,Parasite ,/wiki/Parasite_(2019_film),True,"$40,283,786"
528,2019,1917 ,/wiki/1917_(2019_film),False,"$384,577,421"
529,2019,The Irishman,/wiki/The_Irishman,False,"$968,853"
530,2019,Once Upon a Time in Hollywood,/wiki/Once_Upon_a_Time_in_Hollywood,False,"$377,617,598"
531,2020,The Father ,/wiki/The_Father_(2020_film),False,"$24,267,597"
532,2020,The Trial of the Chicago 7,/wiki/The_Trial_of_the_Chicago_7,False,N/A
533,2020,Judas and the Black Messiah,/wiki/Judas_and_the_Black_Messiah,False,"$7,478,009"
534,2020,Nomadland ,/wiki/Nomadland_(film),True,"$39,458,207"
535,2020,Sound of Metal,/wiki/Sound_of_Metal,False,"$516,520"
536,2020,Mank,/wiki/Mank,False,N/A
537,2020,Promising Young Woman,/wiki/Promising_Young_Woman,False,"$18,854,166"
538,2020,Minari ,/wiki/Minari_(film),False,"$15,312,445"
539,2021,West Side Story ,/wiki/West_Side_Story_(2021_film),False,"$76,016,171"
540,2021,CODA ,/wiki/CODA_(2021_film),True,"$1,911,296"
541,2021,Belfast ,/wiki/Belfast_(film),False,"$49,142,744"
542,2021,Don't Look Up,/wiki/Don%27t_Look_Up,False,"$791,863"
543,2021,Drive My Car ,/wiki/Drive_My_Car_(film),False,"$15,362,861"
544,2021,Dune ,/wiki/Dune_(2021_film),False,"$402,027,830"
545,2021,King Richard ,/wiki/King_Richard_(film),False,"$39,429,285"
546,2021,Licorice Pizza,/wiki/Licorice_Pizza,False,"$33,273,940"
547,2021,Nightmare Alley ,/wiki/Nightmare_Alley_(2021_film),False,"$39,629,195"
548,2021,The Power of the Dog ,/wiki/The_Power_of_the_Dog_(film),False,"$271,009"
549,2022,All Quiet on the Western Front ,/wiki/All_Quiet_on_the_Western_Front_(2022_film),False,N/A
550,2022,Avatar: The Way of Water,/wiki/Avatar:_The_Way_of_Water,False,"$2,319,766,200"
551,2022,The Banshees of Inisherin,/wiki/The_Banshees_of_Inisherin,False,"$49,209,277"
552,2022,Elvis ,/wiki/Elvis_(2022_film),False,"$288,670,284"
553,2022,The Fabelmans,/wiki/The_Fabelmans,False,"$45,164,110"
554,2022,Tár,/wiki/T%C3%A1r,False,"$27,541,681"
555,2022,Top Gun: Maverick,/wiki/Top_Gun:_Maverick,False,"$1,493,491,858"
556,2022,Triangle of Sadness,/wiki/Triangle_of_Sadness,False,"$25,615,870"
557,2022,Everything Everywhere All at Once,/wiki/Everything_Everywhere_All_at_Once,True,"$140,211,159"
558,2022,Women Talking ,/wiki/Women_Talking_(film),False,"$8,954,708"
