,year,film,wiki,winner,worldwide_box_office
76,1939,Ninotchka,/wiki/Ninotchka,False,"$1,204"
77,1939,"Goodbye, Mr. Chips ","/wiki/Goodbye,_Mr._Chips_(1939_film)",False,"$106,269,971"
78,1939,Dark Victory,/wiki/Dark_Victory,False,N/A
79,1939,Gone with the Wind ,/wiki/Gone_with_the_Wind_(film),True,"$402,382,193"
80,1939,Mr. Smith Goes to Washington,/wiki/Mr._Smith_Goes_to_Washington,False,"$144,738"
81,1939,Love Affair ,/wiki/Love_Affair_(1939_film),False,"$18,272,894"
82,1940,The Philadelphia Story ,/wiki/The_Philadelphia_Story_(film),False,"$411,663"
83,1940,Rebecca ,/wiki/Rebecca_(1940_film),True,"$72,275"
84,1940,"All This, and Heaven Too","/wiki/All_This,_and_Heaven_Too",False,"$16,191,842"
85,1940,Foreign Correspondent ,/wiki/Foreign_Correspondent_(film),False,$623
86,1940,The Grapes of Wrath ,/wiki/The_Grapes_of_Wrath_(film),False,N/A
87,1940,The Great Dictator,/wiki/The_Great_Dictator,False,"$970,263"
88,1940,The Letter ,/wiki/The_Letter_(1940_film),False,"$16,455"
89,1940,The Long Voyage Home,/wiki/The_Long_Voyage_Home,False,N/A
90,1940,Our Town ,/wiki/Our_Town_(1940_film),False,"$2,643,251"
91,1941,Sergeant York ,/wiki/Sergeant_York_(film),False,"$16,364,924"
92,1941,Blossoms in the Dust,/wiki/Blossoms_in_the_Dust,False,"$727,639"
93,1941,Suspicion ,/wiki/Suspicion_(1941_film),False,"$269,915"
94,1941,The Maltese Falcon ,/wiki/The_Maltese_Falcon_(1941_film),False,"$34,691"
95,1941,How Green Was My Valley ,/wiki/How_Green_Was_My_Valley_(film),True,N/A
96,1941,Hold Back the Dawn,/wiki/Hold_Back_the_Dawn,False,N/A
97,1941,Here Comes Mr. Jordan,/wiki/Here_Comes_Mr._Jordan,False,N/A
98,1941,Citizen Kane,/wiki/Citizen_Kane,False,"$1,645,944"
99,1941,The Little Foxes ,/wiki/The_Little_Foxes_(film),False,"$4,583"
100,1942,The Talk of the Town ,/wiki/The_Talk_of_the_Town_(1942_film),False,N/A
101,1942,The Pride of the Yankees,/wiki/The_Pride_of_the_Yankees,False,N/A
102,1942,The Magnificent Ambersons ,/wiki/The_Magnificent_Ambersons_(film),False,"$162,360,636"
103,1942,Kings Row,/wiki/Kings_Row,False,"$49,591"
104,1942,49th Parallel ,/wiki/49th_Parallel_(film),False,N/A
105,1942,The Pied Piper ,/wiki/The_Pied_Piper_(1942_film),False,"$5,546,500"
106,1943,The More the Merrier,/wiki/The_More_the_Merrier,False,"$247,061"
107,1943,The Song of Bernadette ,/wiki/The_Song_of_Bernadette_(film),False,"$4,228,034"
108,1943,The Ox-Bow Incident,/wiki/The_Ox-Bow_Incident,False,"$98,201"
109,1943,Madame Curie ,/wiki/Madame_Curie_(film),False,"$3,515,958"
110,1943,Casablanca ,/wiki/Casablanca_(film),True,"$4,626,532"
111,1943,The Human Comedy ,/wiki/The_Human_Comedy_(film),False,N/A
112,1943,Heaven Can Wait ,/wiki/Heaven_Can_Wait_(1943_film),False,"$81,640,278"
113,1943,For Whom the Bell Tolls ,/wiki/For_Whom_the_Bell_Tolls_(film),False,N/A
114,1944,Going My Way,/wiki/Going_My_Way,True,"$2,221"
115,1944,Double Indemnity,/wiki/Double_Indemnity,False,"$14,651"
116,1944,Gaslight ,/wiki/Gaslight_(1944_film),False,"$37,591,674"
117,1944,Wilson ,/wiki/Wilson_(1944_film),False,"$848,646"
118,1945,Spellbound ,/wiki/Spellbound_(1945_film),False,"$18,875,078"
119,1945,Mildred Pierce ,/wiki/Mildred_Pierce_(film),False,"$10,128"
120,1945,The Bells of St. Mary's,/wiki/The_Bells_of_St._Mary%27s,False,"$21,337,978"
121,1945,Anchors Aweigh ,/wiki/Anchors_Aweigh_(film),False,N/A
122,1945,The Lost Weekend ,/wiki/The_Lost_Weekend_(film),True,N/A
123,1946,The Best Years of Our Lives,/wiki/The_Best_Years_of_Our_Lives,True,"$23,661,347"
124,1946,Henry V ,/wiki/Henry_V_(1944_film),False,"$10,161,099"
125,1946,It's a Wonderful Life,/wiki/It%27s_a_Wonderful_Life,False,"$8,574,081"
126,1946,The Razor's Edge ,/wiki/The_Razor%27s_Edge_(1946_film),False,"$6,551,987"
127,1946,The Yearling ,/wiki/The_Yearling_(1946_film),False,N/A
128,1947,The Bishop's Wife,/wiki/The_Bishop%27s_Wife,False,$16
129,1947,Crossfire ,/wiki/Crossfire_(film),False,"$456,350"
130,1947,Great Expectations ,/wiki/Great_Expectations_(1946_film),False,"$55,494,066"
131,1947,Miracle on 34th Street,/wiki/Miracle_on_34th_Street,False,$527
132,1948,The Snake Pit,/wiki/The_Snake_Pit,False,$560
133,1948,The Red Shoes ,/wiki/The_Red_Shoes_(1948_film),False,"$30,846"
134,1948,The Treasure of the Sierra Madre ,/wiki/The_Treasure_of_the_Sierra_Madre_(film),False,"$5,014,000"
135,1948,Hamlet ,/wiki/Hamlet_(1948_film),True,"$6,288,230"
136,1948,Johnny Belinda ,/wiki/Johnny_Belinda_(1948_film),False,N/A
137,1949,All the King's Men ,/wiki/All_the_King%27s_Men_(1949_film),True,"$9,451,623"
138,1949,Battleground ,/wiki/Battleground_(film),False,"$10,337"
139,1949,The Heiress,/wiki/The_Heiress,False,$158
140,1949,A Letter to Three Wives,/wiki/A_Letter_to_Three_Wives,False,"$14,768"
141,1949,Twelve O'Clock High,/wiki/Twelve_O%27Clock_High,False,N/A
142,1950,Sunset Boulevard ,/wiki/Sunset_Boulevard_(film),False,"$300,073"
143,1950,King Solomon's Mines ,/wiki/King_Solomon%27s_Mines_(1950_film),False,"$15,057,465"
144,1950,Father of the Bride ,/wiki/Father_of_the_Bride_(1950_film),False,"$89,325,780"
145,1950,All About Eve,/wiki/All_About_Eve,True,"$151,052"
146,1950,Born Yesterday ,/wiki/Born_Yesterday_(1950_film),False,"$17,952,857"
147,1951,An American in Paris ,/wiki/An_American_in_Paris_(film),True,"$272,619"
148,1951,Decision Before Dawn,/wiki/Decision_Before_Dawn,False,"$608,881"
149,1951,A Place in the Sun ,/wiki/A_Place_in_the_Sun_(1951_film),False,N/A
150,1951,Quo Vadis ,/wiki/Quo_Vadis_(1951_film),False,"$101,486"
151,1951,A Streetcar Named Desire ,/wiki/A_Streetcar_Named_Desire_(1951_film),False,"$49,523"
152,1952,Moulin Rouge ,/wiki/Moulin_Rouge_(1952_film),False,"$184,935,320"
153,1952,Ivanhoe ,/wiki/Ivanhoe_(1952_film),False,"$5,246"
154,1952,The Quiet Man,/wiki/The_Quiet_Man,False,N/A
