,film,genres,rating,numVotes,year,wiki,winner,worldwide_box_office
76,The Great Ziegfeld,"Biography,Documentary,History",6.6,8565.0,1936,/wiki/The_Great_Ziegfeld,True,"$353,659,851"
77,Libeled Lady,"Comedy,Romance",7.8,8492.0,1936,/wiki/Libeled_Lady,False,
78,Mr. Deeds Goes to Town,"Comedy,Drama,Romance",7.8,22250.0,1936,/wiki/Mr._Deeds_Goes_to_Town,False,"$8,362"
79,Romeo and Juliet ,"drama,romance",7.6,33417.0,1936,/wiki/Romeo_and_Juliet_(1936_film),False,"$6,292"
80,Romeo and Juliet ,"drama,romance",7.6,33417.0,1968,/wiki/Romeo_and_Juliet_(1968_film),False,"$6,292"
87,San Francisco ,"drama,history,romance",7.3,6371.0,1936,/wiki/San_Francisco_(1936_film),False,"$18,823"
88,The Story of Louis Pasteur,"Biography,Drama,History",7.3,2972.0,1936,/wiki/The_Story_of_Louis_Pasteur,False,"$204,956"
89,A Tale of Two Cities ,"drama,horror,mystery,thriller",7.8,5988.0,1936,/wiki/A_Tale_of_Two_Cities_(1935_film),False,"$1,062,878"
90,The Life of Emile Zola,"Comedy,Drama",7.2,8596.0,1937,/wiki/The_Life_of_Emile_Zola,True,"$99,783,556"
91,The Awful Truth,"Action,Drama,Mystery",7.7,20443.0,1937,/wiki/The_Awful_Truth,False,
92,Dead End ,"horror,thriller",6.5,30273.0,1937,/wiki/Dead_End_(1937_film),False,"$154,342"
93,The Good Earth ,"drama,romance",7.5,5191.0,1937,/wiki/The_Good_Earth_(film),False,
94,In Old Chicago,"Action,Drama,Musical",6.7,2520.0,1937,/wiki/In_Old_Chicago,False,
95,Lost Horizon ,"drama,romance",7.6,13800.0,1937,/wiki/Lost_Horizon_(1937_film),False,"$10,726,909"
96,One Hundred Men and a Girl,"Comedy,Drama,Music",6.7,1143.0,1937,/wiki/One_Hundred_Men_and_a_Girl,False,"$167,780,960"
97,Stage Door,"Comedy,Drama,Musical",7.7,8676.0,1937,/wiki/Stage_Door,False,"$8,835"
98,A Star Is Born ,"drama,music,romance",7.6,396752.0,1937,/wiki/A_Star_Is_Born_(1937_film),False,"$436,233,122"
99,A Star Is Born ,"drama,music,romance",7.6,396752.0,2018,/wiki/A_Star_Is_Born_(2018_film),False,"$436,233,122"
106,You Can't Take It with You ,"comedy,drama,romance",7.8,26748.0,1938,/wiki/You_Can%27t_Take_It_with_You_(film),True,
107,The Adventures of Robin Hood,"Action,Adventure,Family",7.9,52654.0,1938,/wiki/The_Adventures_of_Robin_Hood,False,"$288,545"
108,Boys Town ,"biography,drama,family,music",7.2,6018.0,1938,/wiki/Boys_Town_(film),False,
109,The Citadel ,"drama,history,war",6.3,10217.0,1938,/wiki/The_Citadel_(1938_film),False,"$1,625,784"
110,Four Daughters,"Drama,Fantasy,Short",6.9,2073.0,1938,/wiki/Four_Daughters,False,"$2,778,028"
111,La Grande Illusion,"Comedy,Romance",7.5,6.0,1938,/wiki/La_Grande_Illusion,False,"$20,356"
112,Jezebel ,"drama,romance",7.4,14308.0,1938,/wiki/Jezebel_(1938_film),False,
113,Gone with the Wind ,"drama,romance,war",8.2,321925.0,1939,/wiki/Gone_with_the_Wind_(film),True,"$402,382,193"
114,Dark Victory,"Drama,Horror,Mystery",7.5,11751.0,1939,/wiki/Dark_Victory,False,
115,"Goodbye, Mr. Chips ","drama,music",7.9,11095.0,1939,"/wiki/Goodbye,_Mr._Chips_(1939_film)",False,"$106,269,971"
116,Love Affair ,"comedy,drama,romance",6.0,4917.0,1939,/wiki/Love_Affair_(1939_film),False,"$18,272,894"
117,Mr. Smith Goes to Washington,"Documentary,Talk-Show",8.1,117350.0,1939,/wiki/Mr._Smith_Goes_to_Washington,False,"$144,738"
118,Ninotchka,"Comedy,Drama",7.8,21798.0,1939,/wiki/Ninotchka,False,"$1,204"
119,Of Mice and Men ,"drama,western",7.5,45096.0,1939,/wiki/Of_Mice_and_Men_(1939_film),False,"$5,471,088"
120,Stagecoach ,"adventure,drama,western",7.8,51137.0,1939,/wiki/Stagecoach_(1939_film),False,
121,The Wizard of Oz ,"adventure,family,fantasy,musical",8.1,409552.0,1939,/wiki/The_Wizard_of_Oz_(1939_film),False,"$25,637,669"
122,Wuthering Heights ,"drama,romance",7.5,18907.0,1939,/wiki/Wuthering_Heights_(1939_film),False,"$624,643"
123,Rebecca ,"drama,film-noir,mystery,romance,thriller",6.0,44096.0,1940,/wiki/Rebecca_(1940_film),True,"$72,275"
124,"All This, and Heaven Too","Drama,Romance",7.4,5136.0,1940,"/wiki/All_This,_and_Heaven_Too",False,"$16,191,842"
125,Foreign Correspondent ,"action,romance,thriller,war",7.4,22250.0,1940,/wiki/Foreign_Correspondent_(film),False,$623
126,The Grapes of Wrath ,drama,8.1,95957.0,1940,/wiki/The_Grapes_of_Wrath_(film),False,
127,The Great Dictator,"Comedy,Drama,War",8.4,228018.0,1940,/wiki/The_Great_Dictator,False,"$970,263"
128,The Letter ,"crime,drama,film-noir,mystery,romance",7.5,13874.0,1940,/wiki/The_Letter_(1940_film),False,"$16,455"
129,The Long Voyage Home,"Drama,War",6.9,4647.0,1940,/wiki/The_Long_Voyage_Home,False,
130,Our Town ,"crime,mystery,thriller",6.5,2782.0,1940,/wiki/Our_Town_(1940_film),False,"$2,643,251"
