year,film,wiki,genres
1938,Four Daughters,/wiki/Four_Daughters,"drama,fantasy,short"
1938,La Grande Illusion,/wiki/La_Grande_Illusion,"comedy,romance"
1938,Jezebel ,/wiki/Jezebel_(1938_film),"drama,romance"
1939,Gone with the Wind ,/wiki/Gone_with_the_Wind_(film),"drama,romance,war"
1939,Dark Victory,/wiki/Dark_Victory,"drama,horror,mystery"
1939,"Goodbye, Mr. Chips ","/wiki/Goodbye,_Mr._Chips_(1939_film)","drama,music"
1939,Love Affair ,/wiki/Love_Affair_(1939_film),"comedy,drama,romance"
1939,Mr. Smith Goes to Washington,/wiki/Mr._Smith_Goes_to_Washington,"documentary,talk-show"
1939,Ninotchka,/wiki/Ninotchka,"comedy,drama"
1939,Of Mice and Men ,/wiki/Of_Mice_and_Men_(1939_film),"drama,western"
1939,Stagecoach ,/wiki/Stagecoach_(1939_film),"adventure,drama,western"
1939,The Wizard of Oz ,/wiki/The_Wizard_of_Oz_(1939_film),"adventure,family,fantasy,musical"
1939,Wuthering Heights ,/wiki/Wuthering_Heights_(1939_film),"drama,romance"
1940,Rebecca ,/wiki/Rebecca_(1940_film),"drama,film-noir,mystery,romance,thriller"
1940,"All This, and Heaven Too","/wiki/All_This,_and_Heaven_Too","drama,romance"
1940,Foreign Correspondent ,/wiki/Foreign_Correspondent_(film),"action,romance,thriller,war"
1940,The Grapes of Wrath ,/wiki/The_Grapes_of_Wrath_(film),drama
1940,The Great Dictator,/wiki/The_Great_Dictator,"comedy,drama,war"
1940,The Letter ,/wiki/The_Letter_(1940_film),"crime,drama,film-noir,mystery,romance"
1940,The Long Voyage Home,/wiki/The_Long_Voyage_Home,"drama,war"
1940,Our Town ,/wiki/Our_Town_(1940_film),"crime,mystery,thriller"
1940,The Philadelphia Story ,/wiki/The_Philadelphia_Story_(film),"comedy,romance"
1941,How Green Was My Valley ,/wiki/How_Green_Was_My_Valley_(film),"drama,family"
1941,Blossoms in the Dust,/wiki/Blossoms_in_the_Dust,"biography,drama,romance"
1941,Citizen Kane,/wiki/Citizen_Kane,"comedy,short"
1941,Here Comes Mr. Jordan,/wiki/Here_Comes_Mr._Jordan,"comedy,fantasy,romance"
1941,Hold Back the Dawn,/wiki/Hold_Back_the_Dawn,"drama,romance"
1941,The Little Foxes ,/wiki/The_Little_Foxes_(film),drama
1941,The Maltese Falcon ,/wiki/The_Maltese_Falcon_(1941_film),"crime,film-noir,mystery,romance"
1941,One Foot in Heaven,/wiki/One_Foot_in_Heaven,"biography,drama,romance"
1941,Sergeant York ,/wiki/Sergeant_York_(film),"biography,drama,history,romance,war"
1941,Suspicion ,/wiki/Suspicion_(1941_film),"crime,drama,mystery,thriller"
1942,Mrs. Miniver,/wiki/Mrs._Miniver,"drama,romance,war"
1942,49th Parallel ,/wiki/49th_Parallel_(film),"drama,thriller,war"
1942,Kings Row,/wiki/Kings_Row,drama
1942,The Magnificent Ambersons ,/wiki/The_Magnificent_Ambersons_(film),"action,adventure,drama,western"
1942,The Pied Piper ,/wiki/The_Pied_Piper_(1942_film),"horror,mystery,thriller"
1942,The Pride of the Yankees,/wiki/The_Pride_of_the_Yankees,"biography,drama,romance"
1942,The Talk of the Town ,/wiki/The_Talk_of_the_Town_(1942_film),"comedy,drama,romance,thriller"
1942,Yankee Doodle Dandy,/wiki/Yankee_Doodle_Dandy,"biography,drama,family"
1943,Casablanca ,/wiki/Casablanca_(film),"drama,romance,war"
