,model_id,auc,logloss,aucpr,mean_per_class_error,rmse,mse,training_time_ms,predict_time_per_row_ms,algo
0,DeepLearning_grid_1_AutoML_1_20230518_152000_model_13,0.791986955508968,0.4355412549000457,0.5233127899825332,0.2323549965059398,0.342841085165356,0.1175400096773589,13035,0.066777,DeepLearning
1,DeepLearning_grid_2_AutoML_1_20230518_152000_model_9,0.7456324248777079,0.5458018536305743,0.3953029546076484,0.2823200559049615,0.3605827018288712,0.1300198848582086,11969,0.07269,DeepLearning
2,DeepLearning_grid_3_AutoML_1_20230518_152000_model_10,0.72233869089215,0.5131111746387937,0.2550351287921101,0.2948986722571628,0.3808412937583788,0.1450400910315557,58032,0.099285,DeepLearning
3,DeepLearning_grid_1_AutoML_1_20230518_152000_model_15,0.716282320055905,0.478912646290228,0.4263368476156204,0.376659678546471,0.3687278213908306,0.1359602062676283,9900,0.070182,DeepLearning
4,DeepLearning_grid_1_AutoML_1_20230518_152000_model_17,0.6641043559282553,0.6242446018709252,0.3761959973480606,0.3829489867225716,0.3684716398335028,0.1357713493615905,6812,0.060175,DeepLearning
5,DeepLearning_grid_1_AutoML_1_20230518_152000_model_9,0.658746797111577,0.585366441096725,0.3884008990610261,0.3651292802236198,0.3882589274296197,0.1507449947287986,10354,0.063284,DeepLearning
6,DeepLearning_grid_1_AutoML_1_20230518_152000_model_19,0.6107617051013278,0.5957472113535848,0.3473638721211289,0.3162124388539483,0.3749921636953874,0.1406191228329482,11594,0.06462,DeepLearning
7,DeepLearning_grid_2_AutoML_1_20230518_152000_model_16,0.5814116002795248,1.100880937269191,0.243105929833921,0.3892382948986722,0.3876373714771571,0.1502627317657194,19983,0.132074,DeepLearning
8,DeepLearning_grid_3_AutoML_1_20230518_152000_model_11,0.5786163522012578,0.5258297406755135,0.1744572007933396,0.3707197763801537,0.3866859687083935,0.1495260383959486,13040,0.068105,DeepLearning
9,DeepLearning_grid_3_AutoML_1_20230518_152000_model_8,0.5644071744700676,0.7250437971661313,0.220819965231258,0.3710691823899371,0.3747543137606005,0.1404407956821786,46457,0.104383,DeepLearning
10,DeepLearning_grid_1_AutoML_1_20230518_152000_model_11,0.5485674353598883,0.6936225510727317,0.2804860185255093,0.4143955276030747,0.3787949259977184,0.1434855959616169,7371,0.068808,DeepLearning
11,DeepLearning_grid_1_AutoML_1_20230518_152000_model_3,0.5474027486606103,1.0107911598375328,0.3628822282563069,0.3888888888888889,0.3954203232397771,0.1563572320310498,7279,0.056372,DeepLearning
12,DeepLearning_grid_1_AutoML_1_20230518_152000_model_10,0.5460051246214768,0.5530292588216865,0.3659278012363124,0.3675751222921034,0.3581749858212604,0.1282893204680601,18495,0.069141,DeepLearning
13,DeepLearning_grid_1_AutoML_1_20230518_152000_model_16,0.5366876310272536,0.9223756097856672,0.1540170389090365,0.4241788958770091,0.4143587075726573,0.1716931385412829,14850,0.076055,DeepLearning
14,DeepLearning_grid_2_AutoML_1_20230518_152000_model_19,0.5150244584206848,0.6602080281057536,0.1789479553097465,0.4210342417889587,0.3827863654050226,0.1465254015399875,18502,0.094777,DeepLearning
15,DeepLearning_1_AutoML_1_20230518_152000,0.5005823433496389,0.625227339418168,0.3361646933367739,0.3532494758909853,0.3882075015555347,0.1507050642639905,78,0.054884,DeepLearning
16,DRF_1_AutoML_1_20230518_152000,0.48893547635686,0.6050960411285469,0.1282149616963833,0.4074074074074074,0.4121671535059442,0.1698817624291926,145,0.064739,DRF
17,DeepLearning_grid_1_AutoML_1_20230518_152000_model_12,0.4730957372466807,0.7782834494729648,0.1603408721185222,0.5,0.3946472752083752,0.155746471829395,19071,0.055571,DeepLearning
18,DeepLearning_grid_3_AutoML_1_20230518_152000_model_5,0.4726298625669695,0.8065839289631311,0.1995209627575522,0.3969252271139063,0.3905481635786397,0.1525278680746479,53664,0.096729,DeepLearning
19,DeepLearning_grid_1_AutoML_1_20230518_152000_model_5,0.4700675518285581,0.8396165890049199,0.1379090150553363,0.5,0.4144965970870128,0.1718074289967134,10287,0.082514,DeepLearning
20,DeepLearning_grid_2_AutoML_1_20230518_152000_model_8,0.4376892615886327,0.8585507306953145,0.1437649904469977,0.426974143955276,0.4013919054889359,0.1611154617920389,38936,0.067097,DeepLearning
21,DeepLearning_grid_2_AutoML_1_20230518_152000_model_12,0.4362916375494992,1.1783455609956914,0.1364021016136867,0.5,0.4241353840528385,0.1798908240056488,19852,0.072913,DeepLearning
22,DeepLearning_grid_2_AutoML_1_20230518_152000_model_3,0.4283717679944095,1.08866617258657,0.165000725435883,0.4199860237596086,0.4164026789044456,0.1733911909987988,11663,0.054353,DeepLearning
23,DeepLearning_grid_1_AutoML_1_20230518_152000_model_14,0.4248777078965758,0.7935292223125228,0.1351149144264371,0.4842767295597484,0.4089570355209565,0.1672458569020889,13734,0.070033,DeepLearning
24,DeepLearning_grid_1_AutoML_1_20230518_152000_model_18,0.4223153971581644,0.6989860175884767,0.1326664064042678,0.4937106918238994,0.3782733578586373,0.1430907332656487,6304,0.044456,DeepLearning
25,DeepLearning_grid_1_AutoML_1_20230518_152000_model_7,0.4195201490798975,0.6801883565044686,0.1406176532220179,0.440251572327044,0.3945484877716872,0.1556685092029252,21824,0.056731,DeepLearning
26,DeepLearning_grid_3_AutoML_1_20230518_152000_model_4,0.419287211740042,1.212530291523745,0.1436392194387238,0.4968553459119497,0.4111029030111197,0.16900559686417,67043,0.099323,DeepLearning
27,DeepLearning_grid_3_AutoML_1_20230518_152000_model_19,0.4143955276030747,1.0334050112529591,0.1212626679184022,0.4842767295597484,0.4204645765042342,0.176790460094885,64594,0.11946,DeepLearning
28,GBM_grid_1_AutoML_1_20230518_152000_model_15,0.4134637782436525,0.5013424443627507,0.1207455674814766,0.4769392033542977,0.3800708284845474,0.1444538346649302,83,0.059647,GBM
29,DeepLearning_grid_2_AutoML_1_20230518_152000_model_14,0.412066154204519,0.919025528057532,0.1332581385494456,0.5,0.4082602315766423,0.1666764166870136,15126,0.084327,DeepLearning
30,DeepLearning_grid_2_AutoML_1_20230518_152000_model_4,0.4116002795248078,0.9342477326612304,0.1181663097710518,0.4937106918238994,0.4275212457685115,0.18277441558346,49463,0.098904,DeepLearning
31,DeepLearning_grid_3_AutoML_1_20230518_152000_model_9,0.410901467505241,0.7562053756916834,0.1236077417928997,0.4968553459119497,0.3899347658249091,0.1520491215989267,10955,0.057065,DeepLearning
32,DeepLearning_grid_3_AutoML_1_20230518_152000_model_12,0.3997204751921733,1.1026745107967602,0.133358368616262,0.5,0.4033416420559267,0.1626844802163713,68413,0.091221,DeepLearning
33,DeepLearning_grid_2_AutoML_1_20230518_152000_model_1,0.3938970416957838,1.2442618897961082,0.1218357028856236,0.5,0.4376424244280757,0.191530891659284,39400,0.076347,DeepLearning
34,DeepLearning_grid_2_AutoML_1_20230518_152000_model_10,0.3922664803167948,1.0184986843141677,0.1832395625436083,0.5,0.4101190932938122,0.1681976706841386,40733,0.077296,DeepLearning
35,DeepLearning_grid_2_AutoML_1_20230518_152000_model_15,0.3815513626834381,1.1182285777728318,0.1309708629668138,0.5,0.4176329700808165,0.1744172976985242,10008,0.058208,DeepLearning
